age,qx
0,0.0004151
1,0.0001843
2,0.0001048
3,7.32e-05
4,6e-05
5,5.51e-05
6,5.43e-05
7,5.58e-05
8,5.88e-05
9,6.27e-05
10,6.75e-05
11,7.3e-05
12,7.91e-05
13,8.62e-05
14,9.5e-05
15,0.000108
16,0.0001299
17,0.0001653
18,0.0002244
19,0.0002806
20,0.0003307
21,0.0003653
22,0.0003893
23,0.0004
24,0.000398
25,0.0003921
26,0.0003997
27,0.0004128
28,0.0004337
29,0.0004563
30,0.0004818
31,0.0005078
32,0.0005376
33,0.0005755
34,0.0006176
35,0.0006637
36,0.0007043
37,0.0007494
38,0.0007991
39,0.000863
40,0.0009412
41,0.001041
42,0.0011431
43,0.0012474
44,0.0013457
45,0.001455
46,0.0015758
47,0.0017322
48,0.0019093
49,0.0021023
50,0.0022899
51,0.002486
52,0.0026688
53,0.0028667
54,0.0030948
55,0.0033761
56,0.0036901
57,0.0040317
58,0.0044048
59,0.004809
60,0.0052625
61,0.0057335
62,0.0062466
63,0.0067445
64,0.0072829
65,0.0078072
66,0.0084053
67,0.0090414
68,0.0097934
69,0.0105983
70,0.0115216
71,0.0124819
72,0.0136001
73,0.0147735
74,0.0164225
75,0.0182079
76,0.0203084
77,0.0223018
78,0.0247974
79,0.0276023
80,0.0309387
81,0.034852
82,0.0394659
83,0.0444953
84,0.0497225
85,0.0559396
86,0.0627591
87,0.0699435
88,0.0770216
89,0.0854361
90,0.0952068
91,0.1055215
92,0.1176157
93,0.1322245
94,0.1462507
95,0.1626539
96,0.1810076
97,0.1999287
98,0.2191843
99,0.2407379
100,0.2596462
101,0.2807563
102,0.3035828
103,0.3282651
104,0.3549543
105,0.3838133
106,0.4150187
107,0.4487611
108,0.485247
109,0.5246993
110,0.5673592
111,0.6134875
112,0.6633662
113,0.7173002
114,0.7756192
115,0.8386798
116,0.9068674
117,0.9805989
118,1.0
