age,qx
0,0.000352673
1,0.0002263863
2,0.0001963496
3,0.0001813874
4,0.000172686
5,0.0001673759
6,0.0001641625
7,0.0001629112
8,0.0001633819
9,0.0001663195
10,0.0001731675
11,0.0001862037
12,0.0002096997
13,0.0002486764
14,0.0003057705
15,0.0003793169
16,0.0004648048
17,0.0005570015
18,0.0006461586
19,0.0007265512
20,0.0007931791
21,0.0008437119
22,0.0008765021
23,0.0008922445
24,0.000895003
25,0.0008864633
26,0.0008697844
27,0.0008498267
28,0.000828435
29,0.0008091954
30,0.0007942939
31,0.0007858324
32,0.0007844502
33,0.0007910742
34,0.000806779
35,0.0008312581
36,0.0008650765
37,0.0009090822
38,0.0009629697
39,0.0010267543
40,0.0011018664
41,0.0011874035
42,0.0012847691
43,0.0013940274
44,0.0015160257
45,0.0016514189
46,0.0018018142
47,0.0019683286
48,0.0021525217
49,0.0023562893
50,0.0025803187
51,0.0028275297
52,0.0030996543
53,0.0033995824
54,0.003729461
55,0.0040923344
56,0.0044915374
57,0.0049303584
58,0.0054136483
59,0.0059450334
60,0.0065296007
61,0.0071722161
62,0.0078788852
63,0.0086563625
64,0.0095115578
65,0.0104519497
66,0.0114859391
67,0.0126237559
68,0.0138734835
69,0.0152496783
70,0.0167635518
71,0.0184300559
72,0.0202639879
73,0.0222823196
74,0.024504775
75,0.0269506554
76,0.029635836
77,0.0325971686
78,0.0358570079
79,0.0394446464
80,0.0433961328
81,0.0477439739
82,0.0525348101
83,0.0578148445
84,0.0636241407
85,0.0700283914
86,0.0770882108
87,0.0848700717
88,0.0934457259
89,0.1029082626
90,0.1133571933
91,0.1248876218
92,0.1376241205
93,0.1517046674
94,0.1672362831
95,0.1844049862
96,0.2033739768
97,0.2243683381
98,0.2475889855
99,0.2732773833
100,0.3016858435
101,0.3331452048
102,0.3678627306
103,0.4062675254
104,0.4486313948
105,0.4951993429
106,0.5461625216
107,0.6016906041
108,0.6615649727
109,0.7250264216
110,0.7905941252
111,0.855635952
112,0.9153523739
113,0.9629801222
114,0.9912628352
115,0.9996218265
116,0.9999999975
117,1.0
