age,qx
0,0.00418
1,0.00107
2,0.00099
3,0.00098
4,0.00095
5,0.00090
6,0.00086
7,0.00080
8,0.00076
9,0.00074
10,0.00073
11,0.00077
12,0.00085
13,0.00099
14,0.00115
15,0.00133
16,0.00151
17,0.00167
18,0.00178
19,0.00186
20,0.00190
21,0.00191
22,0.00189
23,0.00185
24,0.00182
25,0.00177
26,0.00174
27,0.00171
28,0.00170
29,0.00171
30,0.00173
31,0.00178
32,0.00183
33,0.00191
34,0.00200
35,0.00211
36,0.00224
37,0.00238
38,0.00255
39,0.00272
40,0.00291
41,0.00311
42,0.00332
43,0.00356
44,0.00380
45,0.00407
46,0.00434
47,0.00463
48,0.00494
49,0.00528
50,0.00563
51,0.00601
52,0.00643
53,0.00688
54,0.00736
55,0.00789
56,0.00845
57,0.00907
58,0.00974
59,0.01047
60,0.01126
61,0.01213
62,0.01307
63,0.01409
64,0.01520
65,0.01643
66,0.01780
67,0.01929
68,0.02093
69,0.02270
70,0.02463
71,0.02671
72,0.02900
73,0.03150
74,0.03422
75,0.03721
76,0.04050
77,0.04408
78,0.04800
79,0.05231
80,0.05703
81,0.06217
82,0.06774
83,0.07376
84,0.08030
85,0.08734
86,0.09497
87,0.10316
88,0.11193
89,0.12128
90,0.13116
91,0.14160
92,0.15268
93,0.16441
94,0.17680
95,0.18988
96,0.20360
97,0.21788
98,0.23268
99,1.00000
