age,qx
14,0.00065
15,0.00062
16,0.00085
17,0.00112
18,0.00132
19,0.00135
20,0.00132
21,0.00128
22,0.00112
23,0.00117
24,0.00114
25,0.00112
26,0.00111
27,0.00112
28,0.00115
29,0.00118
30,0.00123
31,0.00128
32,0.00134
33,0.00141
34,0.0015
35,0.00162
36,0.00176
37,0.00191
38,0.00209
39,0.00228
40,0.00248
41,0.00271
42,0.00293
43,0.00318
44,0.00346
45,0.00376
46,0.00412
47,0.00455
48,0.00502
49,0.00554
50,0.0061
51,0.00663
52,0.00717
53,0.00773
54,0.00837
55,0.00911
56,0.01
57,0.01101
58,0.01215
59,0.01331
60,0.01487
61,0.01649
62,0.01831
63,0.02034
64,0.0226
65,0.02507
66,0.02777
67,0.0307
68,0.0339
69,0.03741
70,0.04123
71,0.0454
72,0.04994
73,0.0549
74,0.06024
75,0.06602
76,0.0723
77,0.07914
78,0.08671
79,0.09516
80,0.10452
81,1.0
