age,qx
15,0.000575
16,0.000573
17,0.000572
18,0.00057
19,0.000569
20,0.000569
21,0.000569
22,0.000569
23,0.00057
24,0.000572
25,0.000575
26,0.000579
27,0.000583
28,0.000589
29,0.000596
30,0.000605
31,0.000615
32,0.000628
33,0.000643
34,0.00066
35,0.000681
36,0.000704
37,0.000732
38,0.000764
39,0.000801
40,0.000844
41,0.000893
42,0.000949
43,0.001014
44,0.001088
45,0.001174
46,0.001271
47,0.001383
48,0.001511
49,0.001657
50,0.001823
51,0.002014
52,0.002231
53,0.002479
54,0.002762
55,0.003089
56,0.003452
57,0.003872
58,0.00435
59,0.004895
60,0.005516
61,0.006223
62,0.007029
63,0.007947
64,0.008993
65,0.010183
66,0.011542
67,0.013087
68,0.014847
69,0.016852
70,0.019135
71,0.021734
72,0.024695
73,0.028066
74,0.031904
75,0.036275
76,0.041252
77,0.046919
78,0.055371
79,0.060718
80,0.069084
81,0.078608
82,0.089453
83,0.1018
84,0.115859
85,0.131805
86,0.15009
87,0.17084
88,0.194465
89,0.221363
90,0.251988
91,1.0
