age,qx
0,0.00208
1,0.000815
2,0.000454
3,0.000367
4,0.000321
5,0.000291
6,0.00027
7,0.000257
8,0.000294
9,0.000325
10,0.00035
11,0.000371
12,0.000388
13,0.000402
14,0.000414
15,0.000425
16,0.000437
17,0.000449
18,0.000463
19,0.00048
20,0.000499
21,0.000519
22,0.000542
23,0.000566
24,0.000592
25,0.000616
26,0.000639
27,0.000659
28,0.000675
29,0.000687
30,0.000694
31,0.000699
32,0.0007
33,0.000701
34,0.000702
35,0.000704
36,0.000719
37,0.000749
38,0.000796
39,0.000864
40,0.000953
41,0.001065
42,0.001201
43,0.001362
44,0.001547
45,0.001752
46,0.001974
47,0.002211
48,0.00246
49,0.002721
50,0.002994
51,0.003279
52,0.003576
53,0.003884
54,0.004203
55,0.004534
56,0.004876
57,0.005228
58,0.005593
59,0.005988
60,0.006428
61,0.006933
62,0.00752
63,0.008207
64,0.009008
65,0.00994
66,0.011016
67,0.012251
68,0.013657
69,0.015233
70,0.016979
71,0.018891
72,0.020967
73,0.023209
74,0.025644
75,0.028304
76,0.03122
77,0.034425
78,0.037948
79,0.041812
80,0.046037
81,0.050643
82,0.055651
83,0.06108
84,0.066948
85,0.073275
86,0.080076
87,0.08737
88,0.095169
89,0.103455
90,0.112208
91,0.121402
92,0.131017
93,0.14103
94,0.151422
95,0.162179
96,0.173279
97,0.184706
98,0.196946
99,0.210484
100,0.225806
101,0.243398
102,0.263745
103,0.287334
104,0.314649
105,0.346177
106,0.382403
107,0.423813
108,0.470893
109,0.524128
110,0.584004
111,0.651007
112,0.725622
113,0.808336
114,0.899633
115,1.0
