age,qx
0,0.002311
1,0.000906
2,0.000504
3,0.000408
4,0.000357
5,0.000324
6,0.000301
7,0.000286
8,0.000328
9,0.000362
10,0.00039
11,0.000413
12,0.000431
13,0.000446
14,0.000458
15,0.00047
16,0.000481
17,0.000495
18,0.00051
19,0.000528
20,0.000549
21,0.000573
22,0.000599
23,0.000627
24,0.000657
25,0.000686
26,0.000714
27,0.000738
28,0.000758
29,0.000774
30,0.000784
31,0.000789
32,0.000789
33,0.00079
34,0.000791
35,0.000792
36,0.000794
37,0.000823
38,0.000872
39,0.000945
40,0.001043
41,0.001168
42,0.001322
43,0.001505
44,0.001715
45,0.001948
46,0.002198
47,0.002463
48,0.00274
49,0.003028
50,0.00333
51,0.003647
52,0.00398
53,0.004331
54,0.004698
55,0.005077
56,0.005465
57,0.005861
58,0.006265
59,0.006694
60,0.00717
61,0.007714
62,0.008348
63,0.009093
64,0.009968
65,0.010993
66,0.012188
67,0.013572
68,0.01516
69,0.016946
70,0.01892
71,0.021071
72,0.023388
73,0.025871
74,0.028552
75,0.031477
76,0.034686
77,0.038225
78,0.042132
79,0.046427
80,0.051128
81,0.05625
82,0.061809
83,0.067826
84,0.074322
85,0.081326
86,0.088863
87,0.096958
88,0.105631
89,0.114858
90,0.124612
91,0.134861
92,0.145575
93,0.156727
94,0.16829
95,0.180245
96,0.192565
97,0.205229
98,0.218683
99,0.233371
100,0.249741
101,0.268237
102,0.289305
103,0.313391
104,0.34094
105,0.372398
106,0.40821
107,0.448823
108,0.494681
109,0.546231
110,0.603917
111,0.668186
112,0.739483
113,0.818254
114,0.904945
115,1.0
