age,qx
0,0.00321
1,0.00136
2,0.000703
3,0.000521
4,0.000419
5,0.000339
6,0.000278
7,0.000234
8,0.000207
9,0.000193
10,0.000191
11,0.000208
12,0.000225
13,0.000242
14,0.00026
15,0.000278
16,0.000296
17,0.000315
18,0.000334
19,0.000354
20,0.000376
21,0.000398
22,0.000421
23,0.000446
24,0.000473
25,0.000501
26,0.000531
27,0.000563
28,0.000598
29,0.000636
30,0.000677
31,0.000721
32,0.00077
33,0.000822
34,0.000879
35,0.000942
36,0.00101
37,0.001085
38,0.001167
39,0.001256
40,0.001355
41,0.001464
42,0.001583
43,0.001715
44,0.001859
45,0.002019
46,0.002196
47,0.002391
48,0.002606
49,0.002845
50,0.003109
51,0.003361
52,0.003642
53,0.003957
54,0.00431
55,0.004705
56,0.005146
57,0.00564
58,0.006193
59,0.006812
60,0.007504
61,0.008278
62,0.009144
63,0.010112
64,0.011195
65,0.012406
66,0.013759
67,0.015272
68,0.016963
69,0.018853
70,0.020964
71,0.023321
72,0.025954
73,0.028892
74,0.032171
75,0.035829
76,0.039907
77,0.044451
78,0.049513
79,0.055147
80,0.061415
81,0.068383
82,0.076121
83,0.084707
84,0.094224
85,0.10476
86,0.116409
87,0.12927
88,0.143445
89,0.15904
90,0.176161
91,0.194913
92,0.215399
93,0.237714
94,0.261943
95,0.288153
96,0.316391
97,0.346674
98,0.378986
99,0.413266
100,0.4494
101,0.487216
102,0.526477
103,0.566872
104,0.608017
105,0.649459
106,0.690674
107,0.731092
108,0.770105
109,1.0
