age,qx
5,0.00046
6,0.00042
7,0.0004
8,0.00039
9,0.00039
10,0.00039
11,0.0004
12,0.00041
13,0.00041
14,0.00042
15,0.00043
16,0.00044
17,0.00046
18,0.00047
19,0.00049
20,0.0005
21,0.00052
22,0.00054
23,0.00057
24,0.00059
25,0.00062
26,0.00065
27,0.00068
28,0.00072
29,0.00076
30,0.00081
31,0.00086
32,0.00092
33,0.00098
34,0.00105
35,0.00112
36,0.0012
37,0.0013
38,0.0014
39,0.00151
40,0.00163
41,0.00179
42,0.002
43,0.00226
44,0.00257
45,0.00292
46,0.00332
47,0.00375
48,0.00423
49,0.00474
50,0.00529
51,0.00588
52,0.00646
53,0.00709
54,0.00774
55,0.00842
56,0.00912
57,0.00985
58,0.01061
59,0.01141
60,0.01225
61,0.01313
62,0.01407
63,0.01508
64,0.01619
65,0.01741
66,0.01877
67,0.02029
68,0.02199
69,0.02389
70,0.026
71,0.02834
72,0.03093
73,0.0338
74,0.03698
75,0.04049
76,0.04439
77,0.04872
78,0.0535
79,0.05879
80,0.0646
81,0.0709
82,0.07767
83,0.08494
84,0.09287
85,0.10169
86,0.11165
87,0.12305
88,0.13612
89,0.15107
90,0.16804
91,0.18715
92,0.20846
93,0.23189
94,0.25715
95,0.28384
96,0.31157
97,0.34021
98,0.36977
99,0.40019
100,0.43141
101,0.46331
102,0.49576
103,0.56169
104,0.59488
105,0.62802
106,0.66095
107,0.6935
108,0.72552
109,1.0
