age,qx
5,0.000215
6,0.000178
7,0.000149
8,0.000149
9,0.000151
10,0.000156
11,0.000163
12,0.000172
13,0.000183
14,0.000195
15,0.000209
16,0.000224
17,0.000239
18,0.000255
19,0.000271
20,0.000288
21,0.000306
22,0.000325
23,0.000345
24,0.000366
25,0.000388
26,0.00041
27,0.000431
28,0.000452
29,0.000473
30,0.000493
31,0.000513
32,0.000534
33,0.000555
34,0.000578
35,0.000605
36,0.000636
37,0.000673
38,0.000717
39,0.000769
40,0.000827
41,0.000894
42,0.000967
43,0.001048
44,0.001139
45,0.001242
46,0.001362
47,0.0015
48,0.001658
49,0.001837
50,0.002033
51,0.002246
52,0.002474
53,0.002716
54,0.002971
55,0.003242
56,0.003528
57,0.003832
58,0.004155
59,0.004515
60,0.004927
61,0.005411
62,0.005983
63,0.006656
64,0.007416
65,0.008241
66,0.009114
67,0.010012
68,0.010931
69,0.011916
70,0.013027
71,0.014326
72,0.015872
73,0.017717
74,0.019883
75,0.022383
76,0.025228
77,0.028433
78,0.032017
79,0.036029
80,0.040525
81,0.045561
82,0.051194
83,0.057483
84,0.064512
85,0.072368
86,0.081137
87,0.090907
88,0.101721
89,0.113454
90,0.125936
91,0.138997
92,0.152469
93,0.166187
94,0.180008
95,0.193795
96,0.207411
97,0.220718
98,0.234236
99,0.248485
100,0.263985
101,0.281255
102,0.300815
103,0.323185
104,0.348885
105,0.378434
106,0.412352
107,0.45116
108,0.495376
109,0.545521
110,0.602115
111,0.665676
112,0.736725
113,0.815782
114,0.903367
115,1.0
