age,qx
0,0.001835
1,0.000778
2,0.000402
3,0.000298
4,0.00024
5,0.000194
6,0.00016
7,0.000134
8,0.000134
9,0.000136
10,0.000141
11,0.000147
12,0.000155
13,0.000165
14,0.000175
15,0.000188
16,0.000201
17,0.000214
18,0.000229
19,0.000244
20,0.00026
21,0.000276
22,0.000293
23,0.000311
24,0.00033
25,0.000349
26,0.000368
27,0.000387
28,0.000405
29,0.000423
30,0.000441
31,0.00046
32,0.000479
33,0.000499
34,0.000521
35,0.000545
36,0.000574
37,0.000607
38,0.000646
39,0.000691
40,0.000742
41,0.000801
42,0.000867
43,0.000942
44,0.001026
45,0.001122
46,0.001231
47,0.001356
48,0.001499
49,0.001657
50,0.00183
51,0.002016
52,0.002215
53,0.002426
54,0.00265
55,0.002891
56,0.003151
57,0.003432
58,0.003739
59,0.004081
60,0.004467
61,0.004908
62,0.005413
63,0.00599
64,0.006633
65,0.007336
66,0.00809
67,0.008888
68,0.009731
69,0.010653
70,0.011697
71,0.012905
72,0.014319
73,0.01598
74,0.017909
75,0.020127
76,0.022654
77,0.025509
78,0.028717
79,0.032328
80,0.036395
81,0.040975
82,0.046121
83,0.051889
84,0.058336
85,0.065518
86,0.073493
87,0.082318
88,0.092017
89,0.102491
90,0.113605
91,0.125227
92,0.137222
93,0.149462
94,0.161834
95,0.174228
96,0.186535
97,0.198646
98,0.211102
99,0.224445
100,0.239215
101,0.255953
102,0.275201
103,0.2975
104,0.32339
105,0.353414
106,0.388111
107,0.428023
108,0.473692
109,0.525658
110,0.584462
111,0.650646
112,0.72475
113,0.807316
114,0.898885
115,1.0
