age,qx
5,0.000419
6,0.000389
7,0.00037
8,0.000391
9,0.000409
10,0.000424
11,0.000438
12,0.00045
13,0.000461
14,0.000472
15,0.000483
16,0.000495
17,0.000508
18,0.000523
19,0.00054
20,0.000559
21,0.000581
22,0.000605
23,0.000632
24,0.000661
25,0.000692
26,0.000724
27,0.000756
28,0.000788
29,0.000819
30,0.00085
31,0.000881
32,0.000913
33,0.000945
34,0.00098
35,0.001023
36,0.001077
37,0.001146
38,0.001232
39,0.001341
40,0.001476
41,0.001641
42,0.001842
43,0.002079
44,0.002352
45,0.002657
46,0.002988
47,0.003343
48,0.003718
49,0.00411
50,0.004518
51,0.004938
52,0.00537
53,0.005811
54,0.00626
55,0.006718
56,0.007184
57,0.007658
58,0.008146
59,0.008671
60,0.009266
61,0.009961
62,0.010787
63,0.011769
64,0.01292
65,0.014248
66,0.015761
67,0.017467
68,0.019373
69,0.021486
70,0.02381
71,0.026353
72,0.02912
73,0.032123
74,0.035398
75,0.038986
76,0.04293
77,0.047272
78,0.052054
79,0.057325
80,0.063132
81,0.069523
82,0.076547
83,0.084229
84,0.092498
85,0.101261
86,0.110424
87,0.119894
88,0.129609
89,0.139643
90,0.150099
91,0.161082
92,0.172699
93,0.185049
94,0.198219
95,0.212291
96,0.227346
97,0.243467
98,0.260903
99,0.279903
100,0.300716
101,0.323592
102,0.34878
103,0.376529
104,0.407088
105,0.440707
106,0.477634
107,0.51812
108,0.562412
109,0.610761
110,0.663417
111,0.720626
112,0.78264
113,0.849708
114,0.922077
115,1.0
