age,qx
20,0.1044
21,0.1005
22,0.0966
23,0.0927
24,0.0888
25,0.0849
26,0.081
27,0.0769
28,0.0729
29,0.0691
30,0.0667
31,0.0652
32,0.0642
33,0.0633
34,0.0624
35,0.0616
36,0.0605
37,0.0593
38,0.0578
39,0.0572
40,0.0558
41,0.0551
42,0.0554
43,0.0536
44,0.0524
45,0.0516
46,0.0507
47,0.0495
48,0.0493
49,0.0492
50,0.049
51,0.0484
52,0.0483
53,0.0474
54,0.0471
55,0.047
56,0.047
57,0.0472
58,0.0479
59,0.0486
60,0.0498
61,0.0509
62,0.0531
63,0.055
64,0.0574
65,0.0594
66,0.0619
67,0.0641
68,0.0672
69,0.0712
70,0.0755
71,0.0807
72,0.0864
73,0.0942
74,0.1014
75,0.1067
76,0.11405
77,0.12238
78,0.13189
79,0.1423
80,0.156
81,0.17137
82,0.18711
83,0.20057
84,0.21224
85,0.22315
86,0.22913
87,0.23607
88,0.24451
89,0.25774
90,0.32373
91,0.36099
92,0.40526
93,0.45723
94,0.5163
95,0.58427
96,0.64864
97,0.69231
98,0.75
99,0.75
100,0.75
101,0.75
102,0.75
103,0.75
104,0.75
105,0.75
106,0.75
107,0.75
108,0.75
109,1.0
