age,qx
0,0.0003707975
1,0.000242085
2,0.0002129199
3,0.0001991131
4,0.0001916189
5,0.0001876699
6,0.0001861928
7,0.0001866695
8,0.000189483
9,0.0001961013
10,0.0002091557
11,0.0002325625
12,0.0002699656
13,0.0003236332
14,0.0003935276
15,0.0004763501
16,0.0005678099
17,0.0006615395
18,0.0007515943
19,0.0008328873
20,0.0009020711
21,0.0009569951
22,0.0009976223
23,0.0010248766
24,0.0010403836
25,0.0010472052
26,0.0010481314
27,0.0010457511
28,0.0010428245
29,0.0010417837
30,0.001044681
31,0.0010533364
32,0.0010691129
33,0.0010931419
34,0.0011263791
35,0.0011698651
36,0.0012239656
37,0.001289608
38,0.0013672425
39,0.0014575733
40,0.0015612104
41,0.0016790018
42,0.0018117265
43,0.0019604799
44,0.0021263296
45,0.0023107433
46,0.0025148862
47,0.0027404001
48,0.0029891469
49,0.0032632387
50,0.0035646488
51,0.0038958811
52,0.004259815
53,0.0046592219
54,0.005097523
55,0.0055782956
56,0.0061056374
57,0.0066842113
58,0.0073184713
59,0.008013604
60,0.0087755365
61,0.0096104779
62,0.0105256892
63,0.0115288397
64,0.0126271357
65,0.0138316328
66,0.0151510872
67,0.0165960639
68,0.018178971
69,0.0199136179
70,0.0218137531
71,0.023894204
72,0.0261708214
73,0.0286630797
74,0.0313923232
75,0.0343781881
76,0.0376456477
77,0.0412216511
78,0.0451314501
79,0.0494118483
80,0.0540943479
81,0.0592134814
82,0.064808708
83,0.0709234783
84,0.0776062615
85,0.0849002274
86,0.0928587468
87,0.101542411
88,0.1110108185
89,0.1213272006
90,0.1325679496
91,0.1448080296
92,0.1581182712
93,0.1725814942
94,0.1882813864
95,0.205300071
96,0.2237457027
97,0.2436991431
98,0.2652549372
99,0.2885437547
100,0.3135964381
101,0.3405239004
102,0.3693667774
103,0.4062675254
104,0.4486313948
105,0.4951993429
106,0.5461625216
107,0.6016906041
108,0.6615649727
109,0.7250264216
110,0.7905941252
111,0.855635952
112,0.9153523739
113,0.9629801222
114,0.9912628352
115,0.9996218265
116,0.9999999975
117,1.0
