age,qx
0,0.0003438
1,0.0001527
2,0.0001159
3,7.91e-05
4,5.76e-05
5,4.94e-05
6,4.71e-05
7,4.75e-05
8,4.96e-05
9,5.26e-05
10,5.65e-05
11,6.1e-05
12,6.64e-05
13,7.31e-05
14,8.25e-05
15,9.68e-05
16,0.000122
17,0.0001428
18,0.0001708
19,0.0002035
20,0.0002313
21,0.000252
22,0.0002726
23,0.000287
24,0.0002872
25,0.0002883
26,0.0002895
27,0.0002978
28,0.0003144
29,0.0003336
30,0.000348
31,0.0003575
32,0.0003685
33,0.0003831
34,0.0004103
35,0.0004548
36,0.0004992
37,0.0005337
38,0.0005578
39,0.0005769
40,0.0005968
41,0.0006254
42,0.0006793
43,0.000746
44,0.0008159
45,0.0008868
46,0.0009663
47,0.0010661
48,0.001167
49,0.0012926
50,0.0014107
51,0.0015282
52,0.0016306
53,0.0017601
54,0.0019246
55,0.0021113
56,0.0023298
57,0.002564
58,0.0028004
59,0.0030334
60,0.0033009
61,0.0035957
62,0.0039135
63,0.0042898
64,0.0047135
65,0.0052346
66,0.0057864
67,0.006393
68,0.0071061
69,0.0079214
70,0.0088362
71,0.0097454
72,0.010748
73,0.0117749
74,0.0128002
75,0.013845
76,0.0151097
77,0.0166446
78,0.0186115
79,0.0210603
80,0.0240473
81,0.0273368
82,0.0307907
83,0.0342908
84,0.0381713
85,0.0428888
86,0.0490175
87,0.0560458
88,0.0632215
89,0.0703395
90,0.0776935
91,0.085828
92,0.0942675
93,0.1042955
94,0.1150503
95,0.1264029
96,0.1371851
97,0.147791
98,0.1592878
99,0.1717446
100,0.1817103
101,0.1981795
102,0.2190084
103,0.2420264
104,0.2674637
105,0.2955744
106,0.3266396
107,0.3609698
108,0.3989082
109,0.4408339
110,0.4871661
111,0.5383679
112,0.594951
113,0.657481
114,0.7265831
115,0.8029478
116,0.8873386
117,0.9805989
118,1.0
