age,qx
0,0.0003372
1,0.0001568
2,9.41e-05
3,6.88e-05
4,5.82e-05
5,5.43e-05
6,5.39e-05
7,5.55e-05
8,5.84e-05
9,6.24e-05
10,6.73e-05
11,7.38e-05
12,8.31e-05
13,9.71e-05
14,0.0001182
15,0.0001487
16,0.0001909
17,0.0002796
18,0.000374
19,0.0004909
20,0.0006045
21,0.0007069
22,0.0007623
23,0.0007817
24,0.0007731
25,0.0007544
26,0.0007373
27,0.0007298
28,0.0007258
29,0.0007177
30,0.0007211
31,0.0007342
32,0.0007579
33,0.0007941
34,0.0008395
35,0.0008802
36,0.0009202
37,0.0009512
38,0.0009876
39,0.0010291
40,0.0010883
41,0.0011563
42,0.0012443
43,0.0013505
44,0.0014798
45,0.0016034
46,0.0017246
47,0.0018463
48,0.0020009
49,0.0021789
50,0.0023873
51,0.0026229
52,0.0029034
53,0.0032172
54,0.0035536
55,0.003907
56,0.0042981
57,0.0047163
58,0.0051323
59,0.0055507
60,0.0060008
61,0.0065038
62,0.0070974
63,0.0078021
64,0.0086713
65,0.0095833
66,0.0105349
67,0.0114564
68,0.0124987
69,0.0135974
70,0.0150356
71,0.0166761
72,0.0187002
73,0.0208752
74,0.0232898
75,0.0257844
76,0.0286674
77,0.0317212
78,0.0348424
79,0.0382344
80,0.0417852
81,0.0457989
82,0.049948
83,0.0544018
84,0.0597001
85,0.066509
86,0.0744187
87,0.0839599
88,0.093439
89,0.10497
90,0.1143591
91,0.1247292
92,0.1325577
93,0.1466181
94,0.158572
95,0.1737468
96,0.1895589
97,0.205371
98,0.2220684
99,0.2401233
100,0.2596462
101,0.2807563
102,0.3035828
103,0.3282651
104,0.3549543
105,0.3838133
106,0.4150187
107,0.4487611
108,0.485247
109,0.5246993
110,0.5673592
111,0.6134875
112,0.6633662
113,0.7173002
114,0.7756192
115,0.8386798
116,0.9068674
117,0.9805989
118,1.0
