age,qx
0,0.0039421
1,0.0015401
2,0.0013801
3,0.00132
4,0.001265
5,0.001215
6,0.00117
7,0.001135
8,0.0011151
9,0.0011099
10,0.001115
11,0.0011301
12,0.0011549
13,0.00119
14,0.001235
15,0.00129
16,0.001355
17,0.001425
18,0.0015
19,0.00158
20,0.0016549
21,0.001715
22,0.0017649
23,0.00181
24,0.0018449
25,0.0018749
26,0.0019
27,0.0019199
28,0.001945
29,0.001975
30,0.0020099
31,0.0020549
32,0.0021049
33,0.00216
34,0.0022199
35,0.002285
36,0.00236
37,0.0024549
38,0.002575
39,0.0027199
40,0.0029049
41,0.0031297
42,0.0033898
43,0.0036848
44,0.0040048
45,0.0043496
46,0.0047245
47,0.0051345
48,0.0055894
49,0.0060941
50,0.0066541
51,0.0072739
52,0.0079586
53,0.0087133
54,0.009533
55,0.0104227
56,0.0113922
57,0.0124467
58,0.013601
59,0.0148703
60,0.0162642
61,0.0177882
62,0.0194568
63,0.0212802
64,0.0232634
65,0.025426
66,0.0277884
67,0.0303751
68,0.0332207
69,0.0363609
70,0.0398247
71,0.0436032
72,0.0476512
73,0.0519144
74,0.0563373
75,0.0608855
76,0.0656105
77,0.0706525
78,0.0761643
79,0.0823059
80,0.0892151
81,0.0969267
82,0.1053509
83,0.1143924
84,0.1239481
85,0.1339226
86,0.1442973
87,0.1551241
88,0.1664679
89,0.1783921
90,0.1910205
91,0.2045732
92,0.2193681
93,0.2358223
94,0.2544375
95,0.2758218
96,0.3006685
97,0.3306957
98,0.3706446
99,0.4334881
100,0.5492489
101,0.7507962
102,1.0
