age,qx
0,0.0062
1,0.00167
2,0.00141
3,0.00135
4,0.00129
5,0.00124
6,0.00119
7,0.00115
8,0.00112
9,0.00111
10,0.00111
11,0.00112
12,0.00114
13,0.00117
14,0.00121
15,0.00126
16,0.00132
17,0.00139
18,0.00146
19,0.00154
20,0.00162
21,0.00169
22,0.00174
23,0.00179
24,0.00183
25,0.00186
26,0.00189
27,0.00191
28,0.00193
29,0.00196
30,0.00199
31,0.00203
32,0.00208
33,0.00213
34,0.00219
35,0.00225
36,0.00232
37,0.0024
38,0.00251
39,0.00264
40,0.0028
41,0.00301
42,0.00325
43,0.00353
44,0.00384
45,0.00417
46,0.00453
47,0.00492
48,0.00535
49,0.00583
50,0.00636
51,0.00695
52,0.0076
53,0.00832
54,0.00911
55,0.00996
56,0.01089
57,0.0119
58,0.013
59,0.01421
60,0.01554
61,0.017
62,0.01859
63,0.02034
64,0.02224
65,0.02431
66,0.02657
67,0.02904
68,0.03175
69,0.03474
70,0.03804
71,0.04168
72,0.04561
73,0.04979
74,0.05415
75,0.05865
76,0.06326
77,0.06812
78,0.07337
79,0.07918
80,0.0857
81,0.09306
82,0.10119
83,0.10998
84,0.11935
85,0.12917
86,0.13938
87,0.15001
88,0.16114
89,0.17282
90,0.18513
91,0.19825
92,0.21246
93,0.22814
94,0.24577
95,0.26593
96,0.2893
97,0.31666
98,0.35124
99,0.40056
100,0.48842
101,0.66815
102,1.0
