age,qx
0,0.00548
1,0.00094
2,0.00067
3,0.0006
4,0.00053
5,0.00047
6,0.00041
7,0.00036
8,0.00032
9,0.0003
10,0.00029
11,0.00029
12,0.0003
13,0.00032
14,0.00035
15,0.00039
16,0.00044
17,0.0005
18,0.00056
19,0.00063
20,0.0007
21,0.00076
22,0.0008
23,0.00084
24,0.00087
25,0.00089
26,0.00091
27,0.00092
28,0.00093
29,0.00095
30,0.00097
31,0.001
32,0.00104
33,0.00108
34,0.00113
35,0.00118
36,0.00124
37,0.00131
38,0.00141
39,0.00153
40,0.00168
41,0.00188
42,0.0021
43,0.00236
44,0.00265
45,0.00295
46,0.00328
47,0.00364
48,0.00403
49,0.00446
50,0.00494
51,0.00547
52,0.00606
53,0.00671
54,0.00742
55,0.00819
56,0.00903
57,0.00994
58,0.01093
59,0.01202
60,0.01322
61,0.01454
62,0.01598
63,0.01756
64,0.01926
65,0.0211
66,0.02309
67,0.02525
68,0.02761
69,0.03021
70,0.03308
71,0.03624
72,0.03966
73,0.0433
74,0.04709
75,0.051
76,0.05501
77,0.05923
78,0.0638
79,0.06885
80,0.07452
81,0.08092
82,0.08799
83,0.09564
84,0.10378
85,0.11232
86,0.1212
87,0.13045
88,0.14012
89,0.15027
90,0.16098
91,0.17239
92,0.18475
93,0.19838
94,0.21371
95,0.23124
96,0.25147
97,0.2749
98,0.30303
99,0.34336
100,0.40979
101,0.52262
102,0.70855
103,1.0
