age,qx
0,0.00633
1,0.001
2,0.00075
3,0.00068
4,0.00061
5,0.00055
6,0.00049
7,0.00044
8,0.0004
9,0.00037
10,0.00036
11,0.00037
12,0.00039
13,0.00044
14,0.0005
15,0.00056
16,0.00063
17,0.0007
18,0.00076
19,0.0008
20,0.00084
21,0.00087
22,0.00089
23,0.00091
24,0.00092
25,0.00093
26,0.00095
27,0.00097
28,0.001
29,0.00104
30,0.00108
31,0.00113
32,0.00118
33,0.00124
34,0.00131
35,0.00141
36,0.00153
37,0.00168
38,0.00188
39,0.0021
40,0.00236
41,0.00265
42,0.00295
43,0.00328
44,0.00364
45,0.00403
46,0.00446
47,0.00494
48,0.00547
49,0.00606
50,0.00671
51,0.00742
52,0.00819
53,0.00903
54,0.00994
55,0.01093
56,0.01202
57,0.01322
58,0.01454
59,0.01598
60,0.01756
61,0.01926
62,0.0211
63,0.02309
64,0.02525
65,0.02761
66,0.03021
67,0.03308
68,0.03624
69,0.03966
70,0.0433
71,0.04709
72,0.051
73,0.05501
74,0.05923
75,0.0638
76,0.06885
77,0.07452
78,0.08092
79,0.08799
80,0.09564
81,0.10378
82,0.11232
83,0.1212
84,0.13045
85,0.14012
86,0.15027
87,0.16098
88,0.17239
89,0.18475
90,0.19838
91,0.21371
92,0.23124
93,0.25147
94,0.2749
95,0.30303
96,0.34336
97,0.40979
98,0.52262
99,0.70855
100,1.0
