age,qx
0,0.0044295
1,0.00164
2,0.0014901
3,0.00143
4,0.0013749
5,0.001325
6,0.0012801
7,0.001245
8,0.0012199
9,0.00121
10,0.00122
11,0.001245
12,0.00129
13,0.001355
14,0.001425
15,0.0015
16,0.00158
17,0.0016549
18,0.001715
19,0.0017649
20,0.00181
21,0.0018449
22,0.0018749
23,0.0019
24,0.0019199
25,0.001945
26,0.001975
27,0.0020099
28,0.0020549
29,0.0021049
30,0.00216
31,0.0022199
32,0.002285
33,0.00236
34,0.0024549
35,0.002575
36,0.0027199
37,0.0029049
38,0.0031297
39,0.0033898
40,0.0036848
41,0.0040048
42,0.0043496
43,0.0047245
44,0.0051345
45,0.0055894
46,0.0060941
47,0.0066541
48,0.0072739
49,0.0079586
50,0.0087133
51,0.009533
52,0.0104227
53,0.0113922
54,0.0124467
55,0.013601
56,0.0148703
57,0.0162642
58,0.0177882
59,0.0194568
60,0.0212802
61,0.0232634
62,0.025426
63,0.0277884
64,0.0303751
65,0.0332207
66,0.0363609
67,0.0398247
68,0.0436032
69,0.0476512
70,0.0519144
71,0.0563373
72,0.0608855
73,0.0656105
74,0.0706525
75,0.0761643
76,0.0823059
77,0.0892151
78,0.0969267
79,0.1053509
80,0.1143924
81,0.1239481
82,0.1339226
83,0.1442973
84,0.1551241
85,0.1664679
86,0.1783921
87,0.1910205
88,0.2045732
89,0.2193681
90,0.2358223
91,0.2544375
92,0.2758218
93,0.3006685
94,0.3306957
95,0.3706446
96,0.4334881
97,0.5492489
98,0.7507962
99,1.0
