age,qx
0,0.00708
1,0.00176
2,0.00152
3,0.00146
4,0.0014
5,0.00135
6,0.0013
7,0.00126
8,0.00123
9,0.00121
10,0.00121
11,0.00123
12,0.00126
13,0.00132
14,0.00139
15,0.00146
16,0.00154
17,0.00162
18,0.00169
19,0.00174
20,0.00179
21,0.00183
22,0.00186
23,0.00189
24,0.00191
25,0.00193
26,0.00196
27,0.00199
28,0.00203
29,0.00208
30,0.00213
31,0.00219
32,0.00225
33,0.00232
34,0.0024
35,0.00251
36,0.00264
37,0.0028
38,0.00301
39,0.00325
40,0.00353
41,0.00384
42,0.00417
43,0.00453
44,0.00492
45,0.00535
46,0.00583
47,0.00636
48,0.00695
49,0.0076
50,0.00832
51,0.00911
52,0.00996
53,0.01089
54,0.0119
55,0.013
56,0.01421
57,0.01554
58,0.017
59,0.01859
60,0.02034
61,0.02224
62,0.02431
63,0.02657
64,0.02904
65,0.03175
66,0.03474
67,0.03804
68,0.04168
69,0.04561
70,0.04979
71,0.05415
72,0.05865
73,0.06326
74,0.06812
75,0.07337
76,0.07918
77,0.0857
78,0.09306
79,0.10119
80,0.10998
81,0.11935
82,0.12917
83,0.13938
84,0.15001
85,0.16114
86,0.17282
87,0.18513
88,0.19825
89,0.21246
90,0.22814
91,0.24577
92,0.26593
93,0.2893
94,0.31666
95,0.35124
96,0.40056
97,0.48842
98,0.66815
99,1.0
