age,qx
0,0.00418
1,0.00107
2,0.00099
3,0.00098
4,0.00095
5,0.0009
6,0.00086
7,0.0008
8,0.00076
9,0.00074
10,0.00073
11,0.00077
12,0.00085
13,0.00099
14,0.00115
15,0.00133
16,0.00151
17,0.00167
18,0.00178
19,0.00186
20,0.0019
21,0.00191
22,0.00189
23,0.00186
24,0.00182
25,0.00177
26,0.00173
27,0.00171
28,0.0017
29,0.00171
30,0.00173
31,0.00178
32,0.00183
33,0.00191
34,0.002
35,0.00211
36,0.00224
37,0.0024
38,0.00258
39,0.00279
40,0.00302
41,0.00329
42,0.00356
43,0.00387
44,0.00419
45,0.00455
46,0.00492
47,0.00532
48,0.00574
49,0.00621
50,0.00671
51,0.0073
52,0.00796
53,0.00871
54,0.00956
55,0.01047
56,0.01146
57,0.01249
58,0.01359
59,0.01477
60,0.01608
61,0.01754
62,0.01919
63,0.02106
64,0.02314
65,0.02542
66,0.02785
67,0.03044
68,0.03319
69,0.03617
70,0.03951
71,0.0433
72,0.04765
73,0.05264
74,0.05819
75,0.06419
76,0.07053
77,0.07712
78,0.0839
79,0.09105
80,0.09884
81,0.10748
82,0.11725
83,0.12826
84,0.14025
85,0.15295
86,0.16609
87,0.17955
88,0.19327
89,0.20729
90,0.22177
91,0.23698
92,0.25345
93,0.27211
94,0.2959
95,0.32996
96,0.38455
97,0.4802
98,0.65798
99,1.0
