age,qx
0,0.02258
1,0.00577
2,0.00414
3,0.00338
4,0.00299
5,0.00276
6,0.00261
7,0.00247
8,0.00231
9,0.00212
10,0.00197
11,0.00191
12,0.00192
13,0.00198
14,0.00207
15,0.00215
16,0.00219
17,0.00225
18,0.0023
19,0.00237
20,0.00243
21,0.00251
22,0.00259
23,0.00268
24,0.00277
25,0.00288
26,0.00299
27,0.00311
28,0.00325
29,0.0034
30,0.00356
31,0.00373
32,0.00392
33,0.00412
34,0.00435
35,0.00459
36,0.00486
37,0.00515
38,0.00546
39,0.00581
40,0.00618
41,0.00659
42,0.00703
43,0.00751
44,0.00804
45,0.00861
46,0.00923
47,0.00991
48,0.01064
49,0.01145
50,0.01232
51,0.01327
52,0.0143
53,0.01543
54,0.01665
55,0.01798
56,0.01943
57,0.021
58,0.02271
59,0.02457
60,0.02659
61,0.02878
62,0.03118
63,0.03376
64,0.03658
65,0.03964
66,0.04296
67,0.04656
68,0.05046
69,0.0547
70,0.0593
71,0.06427
72,0.06966
73,0.0755
74,0.08181
75,0.08864
76,0.09602
77,0.10399
78,0.11259
79,0.12186
80,0.13185
81,0.1426
82,0.15416
83,0.16657
84,0.17988
85,0.19413
86,0.20937
87,0.22563
88,0.243
89,0.26144
90,0.28099
91,0.30173
92,0.32364
93,0.34666
94,0.371
95,0.39621
96,0.44719
97,0.54826
98,0.72467
99,1.0
