age,qx
14,0.000871
15,0.001006
16,0.00115
17,0.001268
18,0.001314
19,0.001325
20,0.001336
21,0.001347
22,0.001358
23,0.00136
24,0.001371
25,0.001382
26,0.001402
27,0.001413
28,0.001452
29,0.001472
30,0.00152
31,0.001568
32,0.001625
33,0.00171
34,0.001831
35,0.001962
36,0.00214
37,0.002336
38,0.002579
39,0.002859
40,0.003168
41,0.003515
42,0.00391
43,0.004333
44,0.004795
45,0.005304
46,0.005881
47,0.006459
48,0.007123
49,0.007835
50,0.008625
51,0.009483
52,0.010428
53,0.01146
54,0.01259
55,0.013808
56,0.015105
57,0.016492
58,0.017948
59,0.019485
60,0.021122
61,0.022878
62,0.024811
63,0.026912
64,0.029162
65,0.03162
66,0.034364
67,0.037395
68,0.040733
69,0.04437
70,0.048239
71,0.052275
72,0.056458
73,0.060731
74,0.06521
75,0.070004
76,0.075299
77,0.081234
78,0.087909
79,0.095268
80,0.103168
81,0.111553
82,0.120277
83,0.129281
84,0.138597
85,0.148276
86,0.158359
87,0.168937
88,0.180129
89,0.192208
90,0.205495
91,0.220333
92,0.237268
93,0.256875
94,0.279802
95,0.30884
96,0.35179
97,0.42848
98,0.56225
99,0.75284
100,0.75284
101,0.75284
102,0.75284
103,0.75284
104,0.75284
105,0.75284
106,0.75284
107,0.75284
108,0.75284
109,1.0
