age,qx
5,0.00019
6,0.000156
7,0.000131
8,0.000116
9,0.000108
10,0.000107
11,0.000116
12,0.000126
13,0.000135
14,0.000146
15,0.000156
16,0.000166
17,0.000177
18,0.000187
19,0.000199
20,0.00021
21,0.000223
22,0.000236
23,0.00025
24,0.000265
25,0.000281
26,0.000298
27,0.000315
28,0.000335
29,0.000356
30,0.00038
31,0.000404
32,0.000431
33,0.00046
34,0.000492
35,0.000529
36,0.000558
37,0.000595
38,0.000637
39,0.000686
40,0.000739
41,0.000796
42,0.000861
43,0.000935
44,0.001021
45,0.001122
46,0.001241
47,0.001374
48,0.001518
49,0.001672
50,0.00183
51,0.001992
52,0.002165
53,0.002355
54,0.002572
55,0.002823
56,0.003114
57,0.003448
58,0.003825
59,0.004246
60,0.004712
61,0.005225
62,0.005789
63,0.00641
64,0.007095
65,0.007849
66,0.008686
67,0.009646
68,0.01078
69,0.012135
70,0.013761
71,0.015698
72,0.017955
73,0.020534
74,0.023435
75,0.026658
76,0.030205
77,0.03408
78,0.038288
79,0.042832
80,0.047717
81,0.05295
82,0.058546
83,0.064523
84,0.070897
85,0.077687
86,0.085078
87,0.093189
88,0.10215
89,0.112616
90,0.124167
91,0.136751
92,0.1507
93,0.166197
94,0.183448
95,0.202688
96,0.224174
97,0.246715
98,0.270999
99,0.297983
100,0.327986
101,0.361361
102,0.398774
103,0.439825
104,0.487067
105,0.542018
106,0.60654
107,0.682566
108,0.772094
109,0.877193
110,1.0
