age,qx
5,0.00038
6,0.000353
7,0.000336
8,0.000327
9,0.000324
10,0.000325
11,0.000331
12,0.000338
13,0.000344
14,0.000352
15,0.000361
16,0.00037
17,0.000381
18,0.000392
19,0.000405
20,0.000419
21,0.000435
22,0.000453
23,0.000471
24,0.000493
25,0.000515
26,0.000542
27,0.00057
28,0.000602
29,0.000636
30,0.000674
31,0.000717
32,0.000763
33,0.000815
34,0.000872
35,0.000955
36,0.001008
37,0.001073
38,0.001154
39,0.001253
40,0.001375
41,0.001522
42,0.001697
43,0.001905
44,0.002147
45,0.002426
46,0.002745
47,0.0031
48,0.003487
49,0.003903
50,0.004343
51,0.004804
52,0.005283
53,0.005778
54,0.006289
55,0.006812
56,0.007353
57,0.007932
58,0.008577
59,0.009315
60,0.010175
61,0.011182
62,0.01237
63,0.013768
64,0.015409
65,0.017324
66,0.019532
67,0.022004
68,0.024699
69,0.027574
70,0.030589
71,0.033727
72,0.037078
73,0.040756
74,0.044876
75,0.049552
76,0.054876
77,0.060842
78,0.06742
79,0.074583
80,0.0823
81,0.090538
82,0.099244
83,0.108361
84,0.11783
85,0.127595
86,0.137967
87,0.148744
88,0.160081
89,0.172066
90,0.184785
91,0.198016
92,0.211622
93,0.225563
94,0.242116
95,0.260096
96,0.27604
97,0.293282
98,0.312003
99,0.332393
100,0.35465
101,0.378984
102,0.405613
103,0.43678
104,0.474728
105,0.521701
106,0.579939
107,0.651687
108,0.739187
109,0.844683
110,1.0
