age,qx
0,0.003255
1,0.001274
2,0.000715
3,0.000576
4,0.000505
5,0.000456
6,0.000424
7,0.000403
8,0.000392
9,0.000389
10,0.00039
11,0.000397
12,0.000405
13,0.000413
14,0.000422
15,0.000433
16,0.000444
17,0.000457
18,0.000471
19,0.000486
20,0.000503
21,0.000522
22,0.000544
23,0.000566
24,0.000591
25,0.000619
26,0.00065
27,0.000684
28,0.000722
29,0.000763
30,0.000809
31,0.00086
32,0.000916
33,0.000978
34,0.001046
35,0.001122
36,0.001204
37,0.001295
38,0.001397
39,0.001509
40,0.001633
41,0.001789
42,0.002
43,0.00226
44,0.002569
45,0.002922
46,0.003318
47,0.003754
48,0.004228
49,0.00474
50,0.005285
51,0.005867
52,0.00648
53,0.007127
54,0.007806
55,0.008519
56,0.009262
57,0.010039
58,0.010889
59,0.011924
60,0.013119
61,0.01444
62,0.015863
63,0.017413
64,0.019185
65,0.02126
66,0.023643
67,0.026316
68,0.029188
69,0.032435
70,0.036106
71,0.040008
72,0.043827
73,0.047489
74,0.051221
75,0.055293
76,0.060068
77,0.065924
78,0.072595
79,0.079692
80,0.087431
81,0.095445
82,0.103691
83,0.112303
84,0.121116
85,0.130102
86,0.139315
87,0.148714
88,0.158486
89,0.168709
90,0.179452
91,0.190489
92,0.201681
93,0.212986
94,0.226535
95,0.241164
96,0.256204
97,0.27248
98,0.290163
99,0.309125
100,0.329825
101,0.352455
102,0.37722
103,0.406205
104,0.441497
105,0.485182
106,0.539343
107,0.606069
108,0.687444
109,0.785555
110,1.0
