age,qx
5,0.000171
6,0.00014
7,0.000118
8,0.000104
9,9.7e-05
10,9.6e-05
11,0.000104
12,0.000113
13,0.000122
14,0.000131
15,0.00014
16,0.000149
17,0.000159
18,0.000168
19,0.000179
20,0.000189
21,0.000201
22,0.000212
23,0.000225
24,0.000239
25,0.000253
26,0.000268
27,0.000284
28,0.000302
29,0.00032
30,0.000342
31,0.000364
32,0.000388
33,0.000414
34,0.000443
35,0.000476
36,0.000502
37,0.000536
38,0.000573
39,0.000617
40,0.000665
41,0.000716
42,0.000775
43,0.000842
44,0.000919
45,0.00101
46,0.001117
47,0.001237
48,0.001366
49,0.001505
50,0.001647
51,0.001793
52,0.001949
53,0.00212
54,0.002315
55,0.002541
56,0.002803
57,0.003103
58,0.003443
59,0.003821
60,0.004241
61,0.004703
62,0.00521
63,0.005769
64,0.006386
65,0.007064
66,0.007817
67,0.008681
68,0.009702
69,0.010922
70,0.012385
71,0.014128
72,0.01616
73,0.018481
74,0.021092
75,0.023992
76,0.027185
77,0.030672
78,0.034459
79,0.038549
80,0.042945
81,0.047655
82,0.052691
83,0.058071
84,0.063807
85,0.069918
86,0.07657
87,0.08387
88,0.091935
89,0.101354
90,0.11175
91,0.123076
92,0.13563
93,0.149577
94,0.165103
95,0.182419
96,0.201757
97,0.222044
98,0.243899
99,0.268185
100,0.295187
101,0.325225
102,0.358897
103,0.395843
104,0.43836
105,0.487816
106,0.545886
107,0.614309
108,0.694885
109,0.789474
110,1.0
