age,qx
5,0.000342
6,0.000318
7,0.000302
8,0.000294
9,0.000292
10,0.000293
11,0.000298
12,0.000304
13,0.00031
14,0.000317
15,0.000325
16,0.000333
17,0.000343
18,0.000353
19,0.000365
20,0.000377
21,0.000392
22,0.000408
23,0.000424
24,0.000444
25,0.000464
26,0.000488
27,0.000513
28,0.000542
29,0.000572
30,0.000607
31,0.000645
32,0.000687
33,0.000734
34,0.000785
35,0.00086
36,0.000907
37,0.000966
38,0.001039
39,0.001128
40,0.001238
41,0.00137
42,0.001527
43,0.001715
44,0.001932
45,0.002183
46,0.002471
47,0.00279
48,0.003138
49,0.003513
50,0.003909
51,0.004324
52,0.004755
53,0.0052
54,0.00566
55,0.006131
56,0.006618
57,0.007139
58,0.007719
59,0.008384
60,0.009158
61,0.010064
62,0.011133
63,0.012391
64,0.013868
65,0.015592
66,0.017579
67,0.019804
68,0.022229
69,0.024817
70,0.02753
71,0.030354
72,0.03337
73,0.03668
74,0.040388
75,0.044597
76,0.049388
77,0.054758
78,0.060678
79,0.067125
80,0.07407
81,0.081484
82,0.08932
83,0.097525
84,0.106047
85,0.114836
86,0.12417
87,0.13387
88,0.144073
89,0.154859
90,0.166307
91,0.178214
92,0.19046
93,0.203007
94,0.217904
95,0.234086
96,0.248436
97,0.263954
98,0.280803
99,0.299154
100,0.319185
101,0.341086
102,0.365052
103,0.393102
104,0.427255
105,0.469531
106,0.521945
107,0.586518
108,0.665268
109,0.760215
110,1.0
