age,qx
1,0.000531
2,0.000346
3,0.000258
4,0.000194
5,0.000175
6,0.000163
7,0.000153
8,0.000137
9,0.00013
10,0.000131
11,0.000138
12,0.000148
13,0.000164
14,0.000189
15,0.000216
16,0.000242
17,0.000262
18,0.000273
19,0.00028
20,0.000284
21,0.000286
22,0.000289
23,0.000292
24,0.000291
25,0.000291
26,0.000294
27,0.000302
28,0.000314
29,0.000331
30,0.000351
31,0.000373
32,0.000397
33,0.000422
34,0.000449
35,0.000478
36,0.000512
37,0.000551
38,0.000598
39,0.000652
40,0.000709
41,0.000768
42,0.000825
43,0.000877
44,0.000923
45,0.000973
46,0.001033
47,0.001112
48,0.001206
49,0.00131
50,0.001428
51,0.001568
52,0.001734
53,0.001907
54,0.002084
55,0.002294
56,0.002563
57,0.002919
58,0.003359
59,0.003863
60,0.004439
61,0.005093
62,0.005832
63,0.006677
64,0.007621
65,0.008636
66,0.009694
67,0.010764
68,0.011763
69,0.012709
70,0.01373
71,0.014953
72,0.016506
73,0.018344
74,0.020381
75,0.022686
76,0.025325
77,0.028366
78,0.031727
79,0.035362
80,0.039396
81,0.043952
82,0.049153
83,0.054857
84,0.060979
85,0.067738
86,0.075347
87,0.084023
88,0.09382
89,0.104594
90,0.116265
91,0.128751
92,0.141973
93,0.155931
94,0.170677
95,0.186213
96,0.202538
97,0.219655
98,0.237713
99,0.256712
100,0.276427
101,0.296629
102,0.317093
103,0.338505
104,0.361016
105,0.383597
106,0.405217
107,0.424846
108,0.444368
109,0.464469
110,0.482325
111,0.49511
112,0.5
113,0.5
114,0.5
115,0.5
116,0.5
117,0.5
118,0.5
119,0.5
120,1.0
