age,qx
1,0.000592
2,0.0004
3,0.000332
4,0.000259
5,0.000237
6,0.000227
7,0.000217
8,0.000201
9,0.000194
10,0.000197
11,0.000208
12,0.000226
13,0.000255
14,0.000297
15,0.000345
16,0.000391
17,0.00043
18,0.00046
19,0.000484
20,0.000507
21,0.00053
22,0.000556
23,0.000589
24,0.000624
25,0.000661
26,0.000696
27,0.000727
28,0.000754
29,0.000779
30,0.000801
31,0.000821
32,0.000839
33,0.000848
34,0.000849
35,0.000851
36,0.000862
37,0.000891
38,0.000939
39,0.000999
40,0.001072
41,0.001156
42,0.001252
43,0.001352
44,0.001458
45,0.001578
46,0.001722
47,0.001899
48,0.002102
49,0.002326
50,0.002579
51,0.002872
52,0.003213
53,0.003584
54,0.003979
55,0.004425
56,0.004949
57,0.005581
58,0.0063
59,0.00709
60,0.007976
61,0.008986
62,0.010147
63,0.011471
64,0.01294
65,0.014535
66,0.016239
67,0.018034
68,0.019859
69,0.021729
70,0.02373
71,0.025951
72,0.028481
73,0.031201
74,0.034051
75,0.037211
76,0.040858
77,0.045171
78,0.050211
79,0.055861
80,0.062027
81,0.068615
82,0.075532
83,0.08251
84,0.089613
85,0.09724
86,0.105792
87,0.115671
88,0.12698
89,0.139452
90,0.152931
91,0.16726
92,0.182281
93,0.198392
94,0.2157
95,0.233606
96,0.25151
97,0.268815
98,0.285277
99,0.301298
100,0.317238
101,0.333461
102,0.35033
103,0.368542
104,0.387855
105,0.407224
106,0.425599
107,0.441935
108,0.457553
109,0.47315
110,0.486745
111,0.496356
112,0.5
113,0.5
114,0.5
115,0.5
116,0.5
117,0.5
118,0.5
119,0.5
120,1.0
