age,qx
15,0.0002959
16,0.0003317
17,0.0003427
18,0.0003392
19,0.0003303
20,0.0003262
21,0.0003364
22,0.0003613
23,0.000391
24,0.0004213
25,0.0004514
26,0.0004819
27,0.0005129
28,0.0005448
29,0.000578
30,0.0006126
31,0.0006492
32,0.0006877
33,0.0007287
34,0.0007726
35,0.0008193
36,0.0008693
37,0.0009216
38,0.0009756
39,0.0010304
40,0.001085
41,0.0011389
42,0.0011911
43,0.0012416
44,0.0012937
45,0.0013517
46,0.0014197
47,0.001502
48,0.0016022
49,0.0017249
50,0.0018738
51,0.0020531
52,0.0022649
53,0.0025056
54,0.0027701
55,0.0030534
56,0.0033504
57,0.003656
58,0.0039654
59,0.0042734
60,0.0045752
61,0.0048654
62,0.0051379
63,0.0055084
64,0.00609
65,0.0068875
66,0.0079057
67,0.0091493
68,0.0106232
69,0.012332
70,0.0142806
71,0.0164736
72,0.018916
73,0.0216123
74,0.0245675
75,0.0277862
76,0.0312732
77,0.0350334
78,0.0390713
79,0.0433919
80,0.0479999
81,0.0529
82,0.058097
83,0.0635957
84,0.0694009
85,0.0755172
86,0.0819495
87,0.0887025
88,0.095781
89,0.1031898
90,0.1109336
91,0.1190172
92,0.1274454
93,0.1362228
94,0.1453544
95,0.1548448
96,0.1646988
97,0.1749211
98,0.1855166
99,0.19649
100,0.2078461
101,0.2195896
102,0.2317253
103,0.244258
104,0.2571923
105,0.2705332
106,0.2842853
107,0.2984535
108,0.3130424
109,0.3280568
110,0.3435016
111,0.3593815
112,0.3757011
113,0.3924654
114,0.4096791
115,0.4273468
116,0.4454735
117,0.4640639
118,0.4831226
119,1.0
