age,qx
15,0.001195
16,0.00121
17,0.001225
18,0.00124
19,0.001255
20,0.00127
21,0.001285
22,0.0013
23,0.001315
24,0.00133
25,0.001345
26,0.00136
27,0.001375
28,0.00139
29,0.001405
30,0.001424
31,0.001473
32,0.001532
33,0.001603
34,0.001689
35,0.00179
36,0.001911
37,0.002052
38,0.002217
39,0.002407
40,0.002624
41,0.002871
42,0.00315
43,0.003464
44,0.003813
45,0.004202
46,0.004631
47,0.005103
48,0.00562
49,0.006185
50,0.006802
51,0.007472
52,0.00821
53,0.009022
54,0.009915
55,0.010896
56,0.011976
57,0.013163
58,0.014468
59,0.015902
60,0.017478
61,0.019209
62,0.021112
63,0.023201
64,0.025495
65,0.028013
66,0.030776
67,0.033807
68,0.037131
69,0.040775
70,0.044768
71,0.049141
72,0.053928
73,0.059164
74,0.06489
75,0.071146
76,0.077976
77,0.085427
78,0.093549
79,0.102392
80,0.112012
81,0.122464
82,0.133806
83,0.146099
84,0.159402
85,0.173775
86,0.189278
87,0.20597
88,0.223906
89,0.243139
90,0.263714
91,0.285674
92,0.309049
93,0.333863
94,0.360127
95,0.38784
96,0.416986
97,0.447535
98,0.479438
99,0.51263
100,0.547029
101,0.582533
102,0.619026
103,0.694427
104,0.733028
105,0.772005
106,1.0
