age,qx
15,0.001288
16,0.001289
17,0.00129
18,0.001291
19,0.001292
20,0.001294
21,0.001295
22,0.001296
23,0.001297
24,0.001298
25,0.001299
26,0.0013
27,0.001301
28,0.001303
29,0.001304
30,0.001306
31,0.001315
32,0.001332
33,0.00136
34,0.001396
35,0.001444
36,0.001501
37,0.001571
38,0.001654
39,0.00175
40,0.001862
41,0.00199
42,0.002135
43,0.002299
44,0.002485
45,0.002698
46,0.002941
47,0.003219
48,0.003534
49,0.003871
50,0.004218
51,0.004578
52,0.004958
53,0.005363
54,0.005798
55,0.006271
56,0.006785
57,0.007347
58,0.007962
59,0.008636
60,0.009374
61,0.010183
62,0.011067
63,0.011958
64,0.012818
65,0.013697
66,0.01464
67,0.015691
68,0.016891
69,0.018278
70,0.019886
71,0.02175
72,0.023889
73,0.026286
74,0.028914
75,0.031746
76,0.034759
77,0.037928
78,0.041232
79,0.044649
80,0.048159
81,0.051743
82,0.055383
83,0.059062
84,0.062764
85,0.066473
86,0.070175
87,0.073892
88,0.077791
89,0.08206
90,0.08688
91,0.092417
92,0.098826
93,0.106254
94,0.114501
95,0.123276
96,0.132579
97,0.14241
98,0.152769
99,0.163656
100,0.17507
101,0.187013
102,0.199483
103,0.212481
104,0.226008
105,0.240062
106,0.254644
107,0.269753
108,0.285391
109,0.301557
110,0.31825
111,0.335472
112,0.353221
113,0.371499
114,0.390304
115,0.409637
116,0.429498
117,0.449887
118,0.470804
119,0.492248
120,0.514221
121,0.536722
122,0.55975
123,0.583306
124,0.607391
125,0.632003
126,1.0
