age,qx
15,0.000318
16,0.00032
17,0.000322
18,0.000324
19,0.000326
20,0.000329
21,0.000342
22,0.000366
23,0.000395
24,0.000425
25,0.000454
26,0.000484
27,0.000514
28,0.000546
29,0.000578
30,0.000612
31,0.000648
32,0.000687
33,0.000727
34,0.000771
35,0.000817
36,0.000867
37,0.000919
38,0.000973
39,0.001028
40,0.001082
41,0.001136
42,0.001188
43,0.001238
44,0.00129
45,0.001348
46,0.001416
47,0.001492
48,0.00157
49,0.001653
50,0.001742
51,0.001839
52,0.001945
53,0.002063
54,0.002194
55,0.00234
56,0.002501
57,0.002681
58,0.00288
59,0.003101
60,0.003345
61,0.003591
62,0.003842
63,0.004126
64,0.004474
65,0.004909
66,0.005448
67,0.006083
68,0.006795
69,0.007572
70,0.008398
71,0.009262
72,0.010151
73,0.011054
74,0.011961
75,0.012878
76,0.013868
77,0.015004
78,0.016352
79,0.017972
80,0.019917
81,0.022237
82,0.024976
83,0.028152
84,0.031713
85,0.03559
86,0.03972
87,0.044041
88,0.048501
89,0.053047
90,0.057633
91,0.062214
92,0.066805
93,0.071626
94,0.076932
95,0.082952
96,0.089696
97,0.097025
98,0.104941
99,0.113444
100,0.122532
101,0.132207
102,0.142468
103,0.153316
104,0.16475
105,0.17677
106,0.189377
107,0.20257
108,0.216349
109,0.230715
110,0.245667
111,0.261205
112,0.27733
113,0.294041
114,0.311338
115,0.329222
116,0.347692
117,0.366748
118,0.386391
119,0.40662
120,0.427435
121,0.448837
122,0.470825
123,0.493399
124,0.516559
125,0.540307
126,1.0
