age,qx
15,0.00229
16,0.0023
17,0.0023
18,0.00231
19,0.00232
20,0.00233
21,0.00234
22,0.00236
23,0.00238
24,0.00241
25,0.00244
26,0.00249
27,0.00254
28,0.0026
29,0.00269
30,0.0028
31,0.00293
32,0.00307
33,0.00324
34,0.00342
35,0.00363
36,0.00386
37,0.00411
38,0.00438
39,0.00467
40,0.00498
41,0.00531
42,0.00566
43,0.00604
44,0.00644
45,0.00688
46,0.00735
47,0.00786
48,0.00841
49,0.00902
50,0.00969
51,0.01043
52,0.01125
53,0.01216
54,0.01319
55,0.01438
56,0.01576
57,0.01738
58,0.01933
59,0.02168
60,0.02422
61,0.0264
62,0.0283
63,0.02959
64,0.03113
65,0.0329
66,0.03484
67,0.03697
68,0.0393
69,0.0418
70,0.04443
71,0.04714
72,0.04988
73,0.0526
74,0.05534
75,0.05788
76,0.06004
77,0.06203
78,0.06407
79,0.06684
80,1.0
