age,qx
0,0.462
1,0.449
2,0.436
3,0.423
4,0.41
5,0.397
6,0.384
7,0.371
8,0.358
9,0.345
10,0.332
11,0.319
12,0.306
13,0.293
14,0.28
15,0.267
16,0.254
17,0.241
18,0.229
19,0.217
20,0.205
21,0.193
22,0.182
23,0.171
24,0.161
25,0.151
26,0.141
27,0.132
28,0.123
29,0.114
30,0.106
31,0.1
32,0.095
33,0.092
34,0.09
35,0.089
36,0.088
37,0.088
38,0.087
39,0.086
40,0.085
41,0.085
42,0.085
43,0.086
44,0.086
45,0.087
46,0.088
47,0.088
48,0.089
49,0.09
50,0.091
51,0.092
52,0.094
53,0.096
54,0.099
55,0.101
56,0.103
57,0.105
58,0.107
59,0.109
60,0.111
61,0.113
62,0.114
63,0.114
64,0.115
65,0.115
66,0.115
67,0.115
68,0.115
69,0.115
70,0.115
71,0.115
72,0.115
73,0.115
74,0.114
75,0.113
76,0.112
77,0.111
78,0.11
79,0.109
80,0.112
81,0.126
82,0.141
83,0.158
84,0.178
85,0.199
86,0.224
87,0.251
88,0.282
89,0.316
90,0.355
91,0.398
92,0.446
93,0.501
94,0.562
95,0.631
96,0.708
97,0.794
98,0.891
99,1.0
