age,qx
15,0.00031
16,0.00032
17,0.00033
18,0.00035
19,0.00038
20,0.0004
21,0.00043
22,0.00046
23,0.00049
24,0.00052
25,0.00054
26,0.00056
27,0.00058
28,0.0006
29,0.00061
30,0.00061
31,0.00062
32,0.00063
33,0.00063
34,0.00063
35,0.00064
36,0.00065
37,0.00066
38,0.00068
39,0.0007
40,0.00072
41,0.00076
42,0.0008
43,0.00084
44,0.00089
45,0.00094
46,0.001
47,0.00107
48,0.00116
49,0.00125
50,0.00136
51,0.00148
52,0.00161
53,0.00175
54,0.00191
55,0.00208
56,0.00226
57,0.00245
58,0.00267
59,0.00289
60,0.00315
61,0.00345
62,0.0038
63,0.00421
64,0.00474
65,0.00542
66,0.00628
67,0.0073
68,0.0088
69,0.01057
70,0.01284
71,0.01575
72,0.01936
73,0.02386
74,0.02924
75,0.03537
76,0.04014
77,0.04401
78,0.04667
79,0.04942
80,1.0
