age,qx
0,0.0071
1,0.00687
2,0.00665
3,0.00644
4,0.00624
5,0.00605
6,0.00587
7,0.0057
8,0.00554
9,0.00539
10,0.00525
11,0.00512
12,0.005
13,0.00489
14,0.00479
15,0.0047
16,0.00462
17,0.00455
18,0.00448
19,0.00441
20,0.00435
21,0.0043
22,0.00424
23,0.0042
24,0.00415
25,0.00412
26,0.00409
27,0.00407
28,0.00405
29,0.00404
30,0.00405
31,0.00406
32,0.00408
33,0.00411
34,0.00416
35,0.00421
36,0.00428
37,0.00437
38,0.00447
39,0.00459
40,0.00473
41,0.00489
42,0.00508
43,0.00528
44,0.00552
45,0.00578
46,0.00607
47,0.0064
48,0.00676
49,0.00715
50,0.0076
51,0.00809
52,0.00862
53,0.00921
54,0.00986
55,0.01057
56,0.01134
57,0.01219
58,0.01312
59,0.01413
60,0.01522
61,0.01639
62,0.01764
63,0.01897
64,0.02038
65,0.02187
66,0.02344
67,0.02509
68,0.02682
69,0.02863
70,0.03052
71,0.03249
72,0.03454
73,0.03667
74,0.03888
75,0.04117
76,0.04354
77,0.04599
78,0.04852
79,0.05113
80,0.05382
81,0.05659
82,0.05944
83,0.06237
84,0.06538
85,0.06847
86,0.07165
87,0.07492
88,0.07833
89,0.08203
90,0.08652
91,0.09342
92,0.10779
93,0.1449
94,0.24972
95,0.55228
96,0.85484
97,0.95966
98,0.99213
99,1.0
