age,qx
20,0.00896
21,0.00901
22,0.00907
23,0.00915
24,0.00921
25,0.00929
26,0.00939
27,0.00948
28,0.00958
29,0.00971
30,0.00984
31,0.00998
32,0.01014
33,0.01032
34,0.01052
35,0.01073
36,0.01097
37,0.01124
38,0.01152
39,0.01184
40,0.01218
41,0.01257
42,0.013
43,0.01348
44,0.01399
45,0.01457
46,0.0152
47,0.0159
48,0.01667
49,0.01752
50,0.01845
51,0.01947
52,0.02061
53,0.02186
54,0.02325
55,0.02477
56,0.02643
57,0.02829
58,0.03032
59,0.03255
60,0.03501
61,0.03772
62,0.04071
63,0.04339
64,0.04759
65,0.05156
66,0.0559
67,0.06069
68,0.06595
69,0.07171
70,0.07802
71,0.08493
72,0.09251
73,0.10077
74,0.10987
75,0.11972
76,0.13053
77,0.14226
78,0.15502
79,0.16893
80,0.18397
81,0.20014
82,0.21788
83,0.23677
84,0.25721
85,0.27978
86,0.3025
87,0.32761
88,0.35383
89,0.38241
90,0.40988
91,0.44335
92,0.47788
93,0.50847
94,0.55172
95,0.61538
96,0.8
97,1.0
