age,qx
15,0.2762
16,0.2231
17,0.1825
18,0.1467
19,0.1174
20,0.0967
21,0.0824
22,0.0728
23,0.0665
24,0.062
25,0.0606
26,0.0597
27,0.0588
28,0.058
29,0.0573
30,0.0565
31,0.0558
32,0.055
33,0.0543
34,0.0536
35,0.0532
36,0.0529
37,0.0527
38,0.0526
39,0.0525
40,0.0524
41,0.0523
42,0.0522
43,0.0521
44,0.052
45,0.0519
46,0.0523
47,0.0543
48,0.0578
49,0.0618
50,0.0668
51,0.071
52,0.0754
53,0.0781
54,0.0807
55,0.0825
56,0.0836
57,0.0837
58,0.08
59,0.0758
60,0.0707
61,0.066
62,0.0621
63,0.06
64,0.0594
65,0.0591
66,0.059
67,0.059
68,0.0592
69,0.0599
70,0.0611
71,0.0628
72,0.065
73,0.0678
74,0.0712
75,0.075
76,0.08
77,0.088
78,0.095
79,0.1042
80,0.1136
81,0.1232
82,0.133
83,0.148
84,0.162
85,0.186
86,0.217
87,0.255
88,0.3
89,0.3583
90,0.4167
91,0.475
92,0.5333
93,0.5917
94,0.65
95,0.7083
96,0.7666
97,0.825
98,0.8833
99,1.0
