age,qx
14,0.00104
15,0.00104
16,0.00105
17,0.00111
18,0.00116
19,0.00121
20,0.00123
21,0.00129
22,0.00132
23,0.00136
24,0.00138
25,0.00139
26,0.0014
27,0.00141
28,0.00144
29,0.00145
30,0.00148
31,0.0015
32,0.00154
33,0.00158
34,0.00162
35,0.00168
36,0.00173
37,0.00178
38,0.00184
39,0.00191
40,0.00197
41,0.00206
42,0.00214
43,0.00223
44,0.00234
45,0.00245
46,0.00259
47,0.00275
48,0.00295
49,0.00311
50,0.00344
51,0.00384
52,0.0043
53,0.00484
54,0.00549
55,0.00622
56,0.00709
57,0.00824
58,0.00964
59,0.01056
60,0.01194
61,0.01323
62,0.01471
63,0.01629
64,0.01807
65,0.0199
66,0.0225
67,0.02487
68,0.02781
69,0.03109
70,0.03476
71,0.03886
72,0.04344
73,0.04856
74,0.05429
75,0.0607
76,0.06786
77,0.07587
78,0.08482
79,0.09482
80,1.0
