age,qx
15,0.1107
16,0.1083
17,0.106
18,0.1037
19,0.1015
20,0.0994
21,0.0973
22,0.0952
23,0.0933
24,0.0914
25,0.0895
26,0.0877
27,0.086
28,0.0843
29,0.0827
30,0.0811
31,0.0796
32,0.0781
33,0.0768
34,0.0754
35,0.0741
36,0.0729
37,0.0718
38,0.0707
39,0.0696
40,0.0686
41,0.0677
42,0.0668
43,0.066
44,0.0653
45,0.0646
46,0.0639
47,0.0633
48,0.0628
49,0.0624
50,0.0619
51,0.0616
52,0.0613
53,0.0611
54,0.0609
55,0.0608
56,0.0607
57,0.0607
58,0.0608
59,0.0609
60,0.061
61,0.0613
62,0.0616
63,0.0619
64,0.0623
65,0.0628
66,0.0633
67,0.0641
68,0.0672
69,0.0712
70,0.0755
71,0.0807
72,0.0864
73,0.0942
74,0.1014
75,0.1098
76,0.1192
77,0.1292
78,0.1391
79,0.1503
80,0.1634
81,0.1741
82,0.1892
83,0.2035
84,0.2163
85,0.2314
86,0.2459
87,0.2601
88,0.2772
89,0.2993
90,0.3258
91,0.35
92,0.3846
93,0.5
94,0.5
95,1.0
