age,qx
15,0.00013
16,0.00016
17,0.0002
18,0.00025
19,0.0003
20,0.00036
21,0.00043
22,0.00051
23,0.0006
24,0.0007
25,0.00082
26,0.00095
27,0.00109
28,0.00124
29,0.00142
30,0.00164
31,0.00181
32,0.00204
33,0.00228
34,0.00255
35,0.00287
36,0.00314
37,0.00346
38,0.00383
39,0.0042
40,0.00461
41,0.00506
42,0.00552
43,0.00603
44,0.00657
45,0.00712
46,0.00772
47,0.00838
48,0.00904
49,0.0098
50,0.0105
51,0.01131
52,0.01218
53,0.01307
54,0.014
55,0.0149
56,0.01596
57,0.01696
58,0.01823
59,0.01937
60,0.02063
61,0.0222
62,0.02326
63,0.02462
64,0.02604
65,0.02756
66,0.02907
67,1.0
