age,qx
15,7e-05
16,9e-05
17,0.00011
18,0.00013
19,0.00016
20,0.00019
21,0.00023
22,0.00027
23,0.00032
24,0.00037
25,0.00044
26,0.00051
27,0.00058
28,0.00066
29,0.00076
30,0.00088
31,0.00098
32,0.0011
33,0.00124
34,0.00139
35,0.00157
36,0.00172
37,0.00191
38,0.00212
39,0.00234
40,0.00259
41,0.00286
42,0.00315
43,0.00346
44,0.00381
45,0.00417
46,0.00457
47,0.00501
48,0.00548
49,0.00601
50,0.00655
51,0.00716
52,0.00784
53,0.00858
54,0.00937
55,0.01021
56,0.01119
57,0.01222
58,0.01346
59,0.01474
60,0.0162
61,0.01794
62,0.01959
63,0.02157
64,0.02379
65,0.0263
66,0.02953
67,0.01719
68,0.01995
69,0.0231
70,0.02669
71,1.0
