age,qx
20,0.00076
21,0.00082
22,0.00088
23,0.00092
24,0.00096
25,0.001
26,0.00102
27,0.00105
28,0.00107
29,0.0011
30,0.00112
31,0.00115
32,0.00118
33,0.00121
34,0.00124
35,0.00129
36,0.00134
37,0.0014
38,0.00147
39,0.00155
40,0.00164
41,0.00173
42,0.00184
43,0.00195
44,0.00207
45,0.00221
46,0.00236
47,0.00256
48,0.00279
49,0.00309
50,0.00347
51,0.00395
52,0.00454
53,0.00525
54,0.00611
55,0.00712
56,0.00838
57,0.00933
58,0.01035
59,0.01144
60,0.01264
61,0.01415
62,0.01621
63,0.01907
64,0.02295
65,1.0
