age,qx
15,0.000531
16,0.000544
17,0.000559
18,0.000576
19,0.000594
20,0.000614
21,0.000636
22,0.000661
23,0.000688
24,0.000718
25,0.000751
26,0.000787
27,0.000828
28,0.000873
29,0.000922
30,0.000976
31,0.001036
32,0.001102
33,0.001175
34,0.001255
35,0.001344
36,0.001443
37,0.001551
38,0.00167
39,0.001803
40,0.001949
41,0.002123
42,0.002351
43,0.002643
44,0.002996
45,0.003406
46,0.003871
47,0.004387
48,0.004952
49,0.005563
50,0.006219
51,0.006917
52,0.007658
53,0.008439
54,0.009261
55,0.010124
56,0.011028
57,0.011976
58,0.012968
59,0.014009
60,0.015102
61,0.016219
62,0.017634
63,0.191167
64,0.020927
65,0.02294
66,0.025212
67,0.027729
68,0.030456
69,0.033352
70,0.036376
71,0.039509
72,0.042761
73,0.046204
74,0.049905
75,0.053884
76,0.058164
77,0.062761
78,0.067697
79,0.072997
80,0.078684
81,0.084782
82,0.091319
83,0.098322
84,0.105819
85,0.113841
86,0.122415
87,0.131575
88,0.141352
89,0.151775
90,0.162879
91,0.174694
92,0.187254
93,0.200585
94,0.214704
95,0.229639
96,0.245402
97,0.262528
98,0.282354
99,0.305786
100,0.333154
101,0.365154
102,0.402622
103,0.446479
104,0.497094
105,0.557578
106,0.630737
107,0.722942
108,0.804429
109,0.916667
110,1.0
