age,qx
0,0.03602
1,0.02749
2,0.02085
3,0.01575
4,0.01187
5,0.00897
6,0.00687
7,0.0054
8,0.00443
9,0.00388
10,0.00364
11,0.00366
12,0.00387
13,0.00422
14,0.00466
15,0.00515
16,0.00565
17,0.0061
18,0.00648
19,0.00675
20,0.0069
21,0.00692
22,0.00681
23,0.00662
24,0.00641
25,0.00624
26,0.0063
27,0.00638
28,0.00646
29,0.00654
30,0.00664
31,0.00675
32,0.00687
33,0.00699
34,0.00714
35,0.00729
36,0.00747
37,0.00766
38,0.00786
39,0.00809
40,0.00834
41,0.00862
42,0.00893
43,0.00926
44,0.00963
45,0.01003
46,0.01048
47,0.01097
48,0.01151
49,0.0121
50,0.01275
51,0.01347
52,0.01427
53,0.01512
54,0.01607
55,0.01712
56,0.01826
57,0.01953
58,0.02091
59,0.02244
60,0.02411
61,0.02594
62,0.02796
63,0.03017
64,0.0326
65,0.03527
66,0.03819
67,0.0414
68,0.04491
69,0.04876
70,0.05298
71,0.0576
72,0.06266
73,0.06819
74,0.07424
75,0.08085
76,0.08806
77,0.09593
78,0.10452
79,0.11386
80,0.12403
81,0.13508
82,0.14708
83,0.16009
84,0.17417
85,0.18939
86,0.20581
87,0.22348
88,0.24248
89,0.26283
90,0.2846
91,0.3078
92,0.33246
93,0.35857
94,0.38612
95,0.41506
96,0.44532
97,0.47681
98,0.50939
99,0.54289
100,0.57711
101,0.61181
102,0.6467
103,0.68147
104,0.71578
105,0.74927
106,1.0
