age,qx
20,4e-05
21,8e-05
22,0.00011
23,0.00014
24,0.00018
25,0.00022
26,0.00027
27,0.00033
28,0.00038
29,0.00045
30,0.00053
31,0.00062
32,0.00072
33,0.00083
34,0.00095
35,0.00109
36,0.00124
37,0.00139
38,0.00157
39,0.00177
40,0.002
41,0.00228
42,0.00258
43,0.00291
44,0.00327
45,0.00366
46,0.00405
47,0.00447
48,0.00491
49,0.00541
50,0.00597
51,0.00659
52,0.00725
53,0.00797
54,0.00878
55,0.0097
56,0.01079
57,0.01205
58,0.01336
59,0.01463
60,0.01577
61,0.01698
62,0.01834
63,0.01951
64,0.02018
65,0.02001
66,0.01648
67,0.0139
68,0.01138
69,0.00916
70,0.0085
71,1.0
