age,qx
21,0.00745
22,0.00745
23,0.00745
24,0.00745
25,0.00745
26,0.00745
27,0.00745
28,0.00745
29,0.00745
30,0.00745
31,0.00745
32,0.00745
33,0.00745
34,0.00745
35,0.00745
36,0.00745
37,0.00745
38,0.00745
39,0.00745
40,0.00745
41,0.00745
42,0.00745
43,0.00745
44,0.00745
45,0.00745
46,0.008184
47,0.008959
48,0.009775
49,0.010634
50,0.011535
51,0.012477
52,0.013456
53,0.014465
54,0.015497
55,0.016544
56,0.017598
57,0.018654
58,0.01971
59,0.020768
60,0.021839
61,0.022936
62,0.02408
63,0.025293
64,0.0266
65,0.028026
66,0.029594
67,0.031325
68,0.033234
69,0.035335
70,0.037635
71,0.04014
72,0.042851
73,0.045769
74,0.048895
75,0.05223
76,0.055777
77,0.059545
78,0.063545
79,0.067793
80,0.072312
81,0.077135
82,0.082298
83,0.087838
84,0.093794
85,0.100203
86,0.107099
87,0.114512
88,0.122464
89,0.130972
90,0.140049
91,0.149698
92,0.159924
93,0.170433
94,0.182799
95,0.194509
96,0.205379
97,0.21524
98,0.223947
99,0.231387
100,0.237467
101,0.244834
102,0.254498
103,0.266044
104,0.279055
105,0.293116
106,0.307811
107,0.322725
108,0.337441
109,1.0
