age,qx
21,0.022571
22,0.022571
23,0.022571
24,0.022571
25,0.022571
26,0.022571
27,0.022571
28,0.022571
29,0.022571
30,0.022571
31,0.022571
32,0.022571
33,0.022571
34,0.022571
35,0.022571
36,0.022571
37,0.022571
38,0.022571
39,0.022571
40,0.022571
41,0.022571
42,0.022571
43,0.022571
44,0.022571
45,0.022571
46,0.023847
47,0.025124
48,0.026404
49,0.027687
50,0.028975
51,0.030268
52,0.031563
53,0.032859
54,0.034152
55,0.035442
56,0.036732
57,0.038026
58,0.039334
59,0.040668
60,0.042042
61,0.043474
62,0.044981
63,0.046584
64,0.048307
65,0.050174
66,0.052213
67,0.05445
68,0.056909
69,0.059613
70,0.062583
71,0.065841
72,0.069405
73,0.073292
74,0.077512
75,0.082067
76,0.086951
77,0.092149
78,0.09764
79,0.103392
80,0.109372
81,0.115544
82,0.121877
83,0.128343
84,0.134923
85,0.141603
86,0.148374
87,0.155235
88,0.162186
89,0.169233
90,0.183408
91,0.199769
92,0.216605
93,0.233662
94,0.250693
95,0.267491
96,0.283905
97,0.299852
98,0.315296
99,0.330207
100,0.344556
101,0.358628
102,0.371685
103,0.38304
104,0.392003
105,0.397886
106,0.4
107,0.4
108,0.4
109,1.0
