age,qx
16,0.0018
17,0.0018
18,0.0018
19,0.0018
20,0.0018
21,0.0018
22,0.0018
23,0.0018
24,0.0018
25,0.0018
26,0.0018
27,0.0018
28,0.0018
29,0.0018
30,0.0018
31,0.00182
32,0.00183
33,0.00186
34,0.00189
35,0.00192
36,0.00195
37,0.002
38,0.00206
39,0.00213
40,0.00221
41,0.0023
42,0.00239
43,0.00254
44,0.00275
45,0.00297
46,0.00332
47,0.00374
48,0.00421
49,0.00473
50,0.00535
51,0.00608
52,0.00694
53,0.00784
54,0.00889
55,0.01022
56,0.01187
57,0.01395
58,0.01665
59,0.0189
60,0.0207
61,0.02206
62,0.02313
63,0.02397
64,0.0246
65,0.0246
66,0.0246
67,0.0246
68,0.0246
69,0.0246
70,0.0246
71,0.0246
72,0.0246
73,0.0246
74,0.0246
75,0.0246
76,1.0
