age,qx
16,0.0012
17,0.0012
18,0.0012
19,0.0012
20,0.0012
21,0.0012
22,0.0012
23,0.0012
24,0.0012
25,0.0012
26,0.0012
27,0.0012
28,0.0012
29,0.0012
30,0.0012
31,0.00121
32,0.00122
33,0.00124
34,0.00126
35,0.00128
36,0.0013
37,0.00133
38,0.00137
39,0.00142
40,0.00147
41,0.00153
42,0.00159
43,0.00169
44,0.00183
45,0.00198
46,0.00221
47,0.00249
48,0.00281
49,0.00315
50,0.00357
51,0.00405
52,0.00463
53,0.00523
54,0.00593
55,0.00681
56,0.00791
57,0.0093
58,0.0111
59,0.0126
60,0.0138
61,0.01471
62,0.01542
63,0.01598
64,0.0164
65,0.0164
66,0.0164
67,0.0164
68,0.0164
69,0.0164
70,0.0164
71,0.0164
72,0.0164
73,0.0164
74,0.0164
75,0.0164
76,1.0
