age,qx
16,0.026
17,0.026
18,0.026
19,0.026
20,0.026
21,0.026
22,0.026
23,0.026
24,0.026
25,0.026
26,0.026
27,0.026
28,0.026
29,0.026
30,0.026
31,0.026
32,0.026
33,0.026
34,0.026
35,0.026
36,0.026
37,0.026
38,0.026
39,0.026
40,0.026
41,0.026
42,0.026
43,0.027
44,0.027
45,0.027
46,0.027
47,0.028
48,0.029
49,0.03
50,0.031
51,0.033
52,0.035
53,0.039
54,0.044
55,0.049
56,0.053
57,0.056
58,0.058
59,0.06
60,0.062
61,0.064
62,0.066
63,0.068
64,0.07
65,0.073
66,0.076
67,0.079
68,0.082
69,0.086
70,0.089
71,0.092
72,0.095
73,0.099
74,0.103
75,0.106
76,0.11
77,0.115
78,0.122
79,0.132
80,0.144
81,0.159
82,0.174
83,0.192
84,0.211
85,0.236
86,0.266
87,0.303
88,0.347
89,0.396
90,0.455
91,0.532
92,0.634
93,0.734
94,0.857
95,1.0
