age,qx
0,0.001295
1,0.001295
2,0.001295
3,0.001295
4,0.001295
5,0.001295
6,0.001295
7,0.001295
8,0.001295
9,0.001295
10,0.001295
11,0.001295
12,0.001295
13,0.001295
14,0.001295
15,0.001488
16,0.001694
17,0.001859
18,0.001918
19,0.001925
20,0.001932
21,0.001939
22,0.001946
23,0.001946
24,0.001949
25,0.001953
26,0.001972
27,0.001978
28,0.002022
29,0.002041
30,0.002099
31,0.002157
32,0.002226
33,0.002333
34,0.002489
35,0.002662
36,0.002876
37,0.003118
38,0.003417
39,0.003761
40,0.004134
41,0.004566
42,0.00505
43,0.005565
44,0.006124
45,0.006734
46,0.007443
47,0.008146
48,0.008951
49,0.009811
50,0.010763
51,0.011803
52,0.012948
53,0.014195
54,0.015557
55,0.017024
56,0.018633
57,0.020358
58,0.022173
59,0.024089
60,0.026128
61,0.028402
62,0.030908
63,0.03364
64,0.036577
65,0.039799
66,0.043445
67,0.047491
68,0.051963
69,0.056855
70,0.062084
71,0.068386
72,0.075048
73,0.082003
74,0.089417
75,0.097453
76,0.107087
77,0.117963
78,0.130283
79,0.144029
80,0.159043
81,0.176815
82,0.195857
83,0.216109
84,0.237657
85,0.26062
86,0.301064
87,0.345335
88,0.393903
89,0.447646
90,0.50773
91,0.543067
92,0.583391
93,0.630071
94,0.684645
95,0.753865
96,0.757326
97,0.798937
98,0.886325
99,0.969804
100,1.0
