age,qx
15,5e-05
16,5e-05
17,5e-05
18,5e-05
19,5e-05
20,5e-05
21,5e-05
22,5e-05
23,5e-05
24,5e-05
25,5e-05
26,5e-05
27,5e-05
28,4e-05
29,4e-05
30,4e-05
31,4e-05
32,4e-05
33,4e-05
34,4e-05
35,3e-05
36,3e-05
37,3e-05
38,3e-05
39,3e-05
40,4e-05
41,4e-05
42,4e-05
43,5e-05
44,5e-05
45,5e-05
46,5e-05
47,6e-05
48,6e-05
49,7e-05
50,8e-05
51,9e-05
52,9e-05
53,0.00011
54,0.00013
55,0.00014
56,0.00016
57,0.00018
58,0.00021
59,0.00023
60,0.00026
61,0.0003
62,0.00034
63,0.00039
64,0.00047
65,0.00056
66,0.00067
67,0.00083
68,0.00104
69,0.00132
70,0.00172
71,1.0
