age,qx
15,0.00036
16,0.00037
17,0.00038
18,0.0004
19,0.00043
20,0.00046
21,0.00049
22,0.00052
23,0.00055
24,0.00058
25,0.00061
26,0.00063
27,0.00065
28,0.00066
29,0.00067
30,0.00068
31,0.00069
32,0.0007
33,0.0007
34,0.00071
35,0.00071
36,0.00072
37,0.00074
38,0.00076
39,0.00079
40,0.00083
41,0.00087
42,0.00092
43,0.00098
44,0.00104
45,0.00111
46,0.00119
47,0.00129
48,0.0014
49,0.00153
50,0.00168
51,0.00184
52,0.00203
53,0.00225
54,0.0025
55,0.00276
56,0.00306
57,0.00339
58,0.00377
59,0.00418
60,0.00468
61,0.00528
62,0.006
63,0.00689
64,0.00806
65,0.00958
66,0.01158
67,0.01429
68,0.01791
69,0.0228
70,0.02958
71,1.0
