age,qx
15,0.001453
16,0.001437
17,0.001414
18,0.001385
19,0.001351
20,0.001311
21,0.001267
22,0.001219
23,0.001167
24,0.001149
25,0.001129
26,0.001107
27,0.001083
28,0.001058
29,0.001083
30,0.001111
31,0.001141
32,0.001173
33,0.001208
34,0.001297
35,0.001398
36,0.001513
37,0.001643
38,0.001792
39,0.001948
40,0.002125
41,0.002327
42,0.002556
43,0.002818
44,0.003095
45,0.00341
46,0.003769
47,0.00418
48,0.004635
49,0.005103
50,0.005616
51,0.006196
52,0.006853
53,0.007543
54,0.008278
55,0.009033
56,0.009875
57,0.010814
58,0.011863
59,0.012952
60,0.014162
61,0.015509
62,0.01701
63,0.018685
64,0.020517
65,0.022562
66,0.024847
67,0.027232
68,0.029634
69,0.032073
70,0.034743
71,0.037667
72,0.040871
73,0.044504
74,0.048504
75,0.052913
76,0.057775
77,0.063142
78,0.068628
79,0.074648
80,0.081256
81,0.088518
82,0.096218
83,0.10431
84,0.112816
85,0.122079
86,0.132174
87,0.143179
88,0.155147
89,0.168208
90,0.182461
91,0.19803
92,0.215035
93,0.232983
94,0.252545
95,0.273878
96,0.297152
97,0.322553
98,0.349505
99,0.378865
100,0.410875
101,0.445768
102,0.48383
103,0.524301
104,0.568365
105,0.616382
106,0.668696
107,0.725745
108,0.786495
109,0.852659
110,0.924666
111,1.0
