age,qx
15,0.001489
16,0.001479
17,0.001467
18,0.001453
19,0.001437
20,0.001414
21,0.001385
22,0.001351
23,0.001311
24,0.001267
25,0.001219
26,0.001167
27,0.001149
28,0.001129
29,0.001107
30,0.001083
31,0.001058
32,0.001083
33,0.001111
34,0.001141
35,0.001173
36,0.001208
37,0.001297
38,0.001398
39,0.001513
40,0.001643
41,0.001792
42,0.001948
43,0.002125
44,0.002327
45,0.002556
46,0.002818
47,0.003095
48,0.00341
49,0.003769
50,0.00418
51,0.004635
52,0.005103
53,0.005616
54,0.006196
55,0.006853
56,0.007543
57,0.008278
58,0.009033
59,0.009875
60,0.010814
61,0.011863
62,0.012952
63,0.014162
64,0.015509
65,0.01701
66,0.018685
67,0.020517
68,0.022562
69,0.024847
70,0.027232
71,0.029634
72,0.032073
73,0.034743
74,0.037667
75,0.040871
76,0.044504
77,0.048504
78,0.052913
79,0.057775
80,0.063142
81,0.068628
82,0.074648
83,0.081256
84,0.088518
85,0.096218
86,0.10431
87,0.112816
88,0.122079
89,0.132174
90,0.143179
91,0.155147
92,0.168208
93,0.182461
94,0.19803
95,0.215035
96,0.232983
97,0.252545
98,0.273878
99,0.297152
100,0.322553
101,0.349505
102,0.378865
103,0.410875
104,0.445768
105,0.48383
106,0.524301
107,0.568365
108,0.616382
109,0.668696
110,0.725745
111,1.0
