age,qx
15,0.001414
16,0.001385
17,0.001351
18,0.001311
19,0.001267
20,0.001219
21,0.001167
22,0.001149
23,0.001129
24,0.001107
25,0.001083
26,0.001058
27,0.001083
28,0.001111
29,0.001141
30,0.001173
31,0.001208
32,0.001297
33,0.001398
34,0.001513
35,0.001643
36,0.001792
37,0.001948
38,0.002125
39,0.002327
40,0.002556
41,0.002818
42,0.003095
43,0.00341
44,0.003769
45,0.00418
46,0.004635
47,0.005103
48,0.005616
49,0.006196
50,0.006853
51,0.007543
52,0.008278
53,0.009033
54,0.009875
55,0.010814
56,0.011863
57,0.012952
58,0.014162
59,0.015509
60,0.01701
61,0.018685
62,0.020517
63,0.022562
64,0.024847
65,0.027232
66,0.029634
67,0.032073
68,0.034743
69,0.037667
70,0.040871
71,0.044504
72,0.048504
73,0.052913
74,0.057775
75,0.063142
76,0.068628
77,0.074648
78,0.081256
79,0.088518
80,0.096218
81,0.10431
82,0.112816
83,0.122079
84,0.132174
85,0.143179
86,0.155147
87,0.168208
88,0.182461
89,0.19803
90,0.215035
91,0.232983
92,0.252545
93,0.273878
94,0.297152
95,0.322553
96,0.349505
97,0.378865
98,0.410875
99,0.445768
100,0.48383
101,0.524301
102,0.568365
103,0.616382
104,0.668696
105,0.725745
106,0.786495
107,0.852659
108,0.924666
109,1.0
