age,qx
1,0.000571
2,0.000372
3,0.000278
4,0.000208
5,0.000188
6,0.000176
7,0.000165
8,0.000147
9,0.00014
10,0.000141
11,0.000148
12,0.000159
13,0.000177
14,0.000203
15,0.000233
16,0.000261
17,0.000281
18,0.000293
19,0.000301
20,0.000305
21,0.000308
22,0.000311
23,0.000313
24,0.000313
25,0.000313
26,0.000316
27,0.000324
28,0.000338
29,0.000356
30,0.000377
31,0.000401
32,0.000427
33,0.000454
34,0.000482
35,0.000514
36,0.00055
37,0.000593
38,0.000643
39,0.000701
40,0.000763
41,0.000826
42,0.000888
43,0.000943
44,0.000992
45,0.001046
46,0.001111
47,0.001196
48,0.001297
49,0.001408
50,0.001536
51,0.001686
52,0.001864
53,0.002051
54,0.002241
55,0.002466
56,0.002755
57,0.003139
58,0.003612
59,0.004154
60,0.004773
61,0.005476
62,0.006271
63,0.007179
64,0.008194
65,0.009286
66,0.010423
67,0.011574
68,0.012648
69,0.013665
70,0.014763
71,0.016079
72,0.017748
73,0.019724
74,0.021915
75,0.024393
76,0.027231
77,0.030501
78,0.034115
79,0.038024
80,0.042361
81,0.04726
82,0.052853
83,0.058986
84,0.065569
85,0.072836
86,0.081018
87,0.090348
88,0.100882
89,0.112467
90,0.125016
91,0.138442
92,0.15266
93,0.167668
94,0.183524
95,0.200229
96,0.217783
97,0.236188
98,0.255605
99,0.276035
100,0.297233
101,0.318956
102,0.34096
103,0.364586
104,0.389996
105,0.41518
106,0.438126
107,0.456824
108,0.471493
109,0.483473
110,0.492436
111,0.498054
112,0.5
113,0.5
114,0.5
115,0.5
116,0.5
117,0.5
118,0.5
119,0.5
120,1.0
