age,qx
1,0.000637
2,0.00043
3,0.000357
4,0.000278
5,0.000255
6,0.000244
7,0.000234
8,0.000216
9,0.000209
10,0.000212
11,0.000223
12,0.000243
13,0.000275
14,0.00032
15,0.000371
16,0.000421
17,0.000463
18,0.000495
19,0.000521
20,0.000545
21,0.00057
22,0.000598
23,0.000633
24,0.000671
25,0.000711
26,0.000749
27,0.000782
28,0.000811
29,0.000838
30,0.000862
31,0.000883
32,0.000902
33,0.000912
34,0.000913
35,0.000915
36,0.000927
37,0.000958
38,0.00101
39,0.001075
40,0.001153
41,0.001243
42,0.001346
43,0.001454
44,0.001568
45,0.001697
46,0.001852
47,0.002042
48,0.00226
49,0.002501
50,0.002773
51,0.003088
52,0.003455
53,0.003854
54,0.004278
55,0.004758
56,0.005322
57,0.006001
58,0.006774
59,0.007623
60,0.008576
61,0.009663
62,0.010911
63,0.012335
64,0.013914
65,0.015629
66,0.017462
67,0.019391
68,0.021354
69,0.023364
70,0.025516
71,0.027905
72,0.030625
73,0.033549
74,0.036614
75,0.040012
76,0.043933
77,0.04857
78,0.053991
79,0.060066
80,0.066696
81,0.07378
82,0.081217
83,0.088721
84,0.096358
85,0.104559
86,0.113755
87,0.124377
88,0.136537
89,0.149949
90,0.164442
91,0.179849
92,0.196001
93,0.213325
94,0.231936
95,0.251189
96,0.270441
97,0.289048
98,0.30675
99,0.323976
100,0.341116
101,0.35856
102,0.376699
103,0.396884
104,0.418855
105,0.440585
106,0.460043
107,0.4752
108,0.48567
109,0.492807
110,0.497189
111,0.499394
112,0.5
113,0.5
114,0.5
115,0.5
116,0.5
117,0.5
118,0.5
119,0.5
120,1.0
