age,qx
14,0.00059
15,0.00071
16,0.00082
17,0.00093
18,0.00102
19,0.00108
20,0.00115
21,0.00122
22,0.00127
23,0.00128
24,0.00127
25,0.00126
26,0.00125
27,0.00126
28,0.0013
29,0.00136
30,0.00143
31,0.00151
32,0.0016
33,0.0017
34,0.00181
35,0.00194
36,0.00209
37,0.00228
38,0.00249
39,0.00273
40,0.003
41,0.0033
42,0.00362
43,0.00397
44,0.00435
45,0.00476
46,0.00521
47,0.00573
48,0.00633
49,0.007
50,0.00774
51,0.00852
52,0.00929
53,0.01005
54,0.01082
55,0.01161
56,0.01249
57,0.01352
58,0.01473
59,0.01611
60,0.01761
61,0.01917
62,0.02082
63,0.02252
64,0.02431
65,0.02622
66,0.02828
67,0.03053
68,0.03301
69,0.03573
70,0.03866
71,0.04182
72,0.0453
73,0.04915
74,0.05342
75,0.05799
76,0.06296
77,0.06867
78,0.07535
79,0.08302
80,0.09208
81,1.0
